% f (Hz),	G_rec (dB),	T_e_rec (K)
900000000.000000,	57.640253,	8.451489
901000000.000000,	57.641647,	8.340711
902000000.000000,	57.606395,	8.381389
903000000.000000,	57.613253,	8.212381
904000000.000000,	57.588428,	8.327067
905000000.000000,	57.585310,	8.145954
906000000.000000,	57.533158,	8.429032
907000000.000000,	57.563823,	8.094342
908000000.000000,	57.527905,	8.213527
909000000.000000,	57.525074,	8.209314
910000000.000000,	57.505367,	8.093133
911000000.000000,	57.462026,	8.308519
912000000.000000,	57.482084,	8.169271
913000000.000000,	57.455430,	8.112792
914000000.000000,	57.463186,	7.969965
915000000.000000,	57.433657,	8.128411
916000000.000000,	57.426434,	8.043460
917000000.000000,	57.417778,	8.215275
918000000.000000,	57.413984,	8.147202
919000000.000000,	57.400975,	8.164643
920000000.000000,	57.367419,	8.241570
921000000.000000,	57.381025,	8.147135
922000000.000000,	57.372470,	7.989802
923000000.000000,	57.352988,	7.996477
924000000.000000,	57.350168,	8.019855
925000000.000000,	57.348193,	7.930692
926000000.000000,	57.335759,	7.994949
927000000.000000,	57.315613,	8.039825
928000000.000000,	57.326347,	7.933396
929000000.000000,	57.297323,	8.078060
930000000.000000,	57.311169,	8.035178
931000000.000000,	57.297251,	7.961124
932000000.000000,	57.311558,	8.087491
933000000.000000,	57.297542,	8.045871
934000000.000000,	57.288690,	8.043802
935000000.000000,	57.302537,	7.943768
936000000.000000,	57.292205,	8.059134
937000000.000000,	57.290561,	8.051843
938000000.000000,	57.292124,	8.029327
939000000.000000,	57.301258,	8.002054
940000000.000000,	57.286657,	8.129627
941000000.000000,	57.285772,	8.062240
942000000.000000,	57.277368,	8.008516
943000000.000000,	57.271365,	8.016696
944000000.000000,	57.261802,	8.163104
945000000.000000,	57.267547,	8.016772
946000000.000000,	57.283935,	7.853479
947000000.000000,	57.279984,	7.782114
948000000.000000,	57.275183,	7.803431
949000000.000000,	57.283493,	7.778172
950000000.000000,	57.254460,	7.850252
951000000.000000,	57.260104,	7.666467
952000000.000000,	57.234196,	7.997665
953000000.000000,	57.259412,	7.615701
954000000.000000,	57.241849,	7.885638
955000000.000000,	57.231385,	7.837721
956000000.000000,	57.243303,	7.602930
957000000.000000,	57.219178,	7.770701
958000000.000000,	57.229460,	7.673695
959000000.000000,	57.211051,	7.672030
960000000.000000,	57.194315,	7.679649
961000000.000000,	57.185025,	7.505063
962000000.000000,	57.185118,	7.483489
963000000.000000,	57.183705,	7.518497
964000000.000000,	57.133473,	7.531561
965000000.000000,	57.135069,	7.418018
966000000.000000,	57.128093,	7.417447
967000000.000000,	57.114347,	7.505497
968000000.000000,	57.093423,	7.466266
969000000.000000,	57.064291,	7.495762
970000000.000000,	57.056560,	7.504290
971000000.000000,	57.039227,	7.294972
972000000.000000,	57.028294,	7.409578
973000000.000000,	57.001097,	7.442447
974000000.000000,	56.992187,	7.259900
975000000.000000,	56.996735,	7.254069
976000000.000000,	56.970006,	7.383674
977000000.000000,	56.968854,	7.277963
978000000.000000,	56.970335,	7.146330
979000000.000000,	56.955690,	7.252064
980000000.000000,	56.980737,	7.032938
981000000.000000,	56.958317,	7.170923
982000000.000000,	56.943172,	7.290680
983000000.000000,	56.941777,	7.201893
984000000.000000,	56.942891,	7.221070
985000000.000000,	56.947795,	7.087100
986000000.000000,	56.938752,	7.219473
987000000.000000,	56.922281,	7.290880
988000000.000000,	56.946963,	7.082384
989000000.000000,	56.924449,	7.139624
990000000.000000,	56.903793,	7.165601
