% f (Hz),G_rec (dB),T_e_rec (K)
 900000000,  55.12,   9.01
 901000000,  55.10,   9.04
 902000000,  55.09,   8.99
 903000000,  55.09,   8.93
 904000000,  55.06,   8.86
 905000000,  55.06,   8.75
 906000000,  55.05,   8.79
 907000000,  55.04,   8.87
 908000000,  55.04,   8.87
 909000000,  55.03,   8.93
 910000000,  55.03,   8.79
 911000000,  55.02,   8.59
 912000000,  55.02,   8.59
 913000000,  55.02,   8.69
 914000000,  55.02,   8.67
 915000000,  55.01,   8.63
 916000000,  55.01,   8.61
 917000000,  55.02,   8.54
 918000000,  55.02,   8.62
 919000000,  55.03,   8.58
 920000000,  55.03,   8.44
 921000000,  55.03,   8.49
 922000000,  55.03,   8.55
 923000000,  55.04,   8.49
 924000000,  55.03,   8.47
 925000000,  55.05,   8.54
 926000000,  55.05,   8.61
 927000000,  55.06,   8.59
 928000000,  55.06,   8.53
 929000000,  55.07,   8.49
 930000000,  55.07,   8.46
 931000000,  55.08,   8.41
 932000000,  55.08,   8.52
 933000000,  55.09,   8.56
 934000000,  55.09,   8.59
 935000000,  55.10,   8.56
 936000000,  55.10,   8.53
 937000000,  55.10,   8.50
 938000000,  55.10,   8.40
 939000000,  55.11,   8.46
 940000000,  55.10,   8.55
 941000000,  55.10,   8.47
 942000000,  55.11,   8.47
 943000000,  55.11,   8.47
 944000000,  55.11,   8.39
 945000000,  55.11,   8.34
 946000000,  55.10,   8.37
 947000000,  55.10,   8.38
 948000000,  55.09,   8.35
 949000000,  55.09,   8.24
 950000000,  55.09,   8.30
 951000000,  55.09,   8.37
 952000000,  55.08,   8.29
 953000000,  55.07,   8.31
 954000000,  55.06,   8.33
 955000000,  55.05,   8.34
 956000000,  55.05,   8.28
 957000000,  55.04,   8.23
 958000000,  55.02,   8.24
 959000000,  55.00,   8.18
 960000000,  54.98,   8.12
 961000000,  54.97,   8.12
 962000000,  54.96,   8.22
 963000000,  54.95,   8.28
 964000000,  54.94,   8.25
 965000000,  54.92,   8.03
 966000000,  54.91,   7.94
 967000000,  54.89,   7.93
 968000000,  54.89,   7.99
 969000000,  54.88,   8.00
 970000000,  54.87,   7.93
 971000000,  54.85,   8.00
 972000000,  54.84,   8.06
 973000000,  54.84,   8.05
 974000000,  54.81,   7.96
 975000000,  54.81,   8.04
 976000000,  54.80,   8.10
 977000000,  54.78,   8.04
 978000000,  54.78,   8.06
 979000000,  54.76,   8.05
 980000000,  54.75,   8.03
 981000000,  54.75,   8.09
 982000000,  54.74,   8.09
 983000000,  54.73,   8.07
 984000000,  54.72,   7.98
 985000000,  54.72,   8.01
 986000000,  54.72,   7.98
 987000000,  54.72,   8.04
 988000000,  54.72,   8.06
 989000000,  54.72,   8.13
 990000000,  54.71,   8.16
 991000000,  54.72,   8.10
 992000000,  54.71,   8.14
 993000000,  54.71,   8.07
 994000000,  54.71,   8.08
 995000000,  54.71,   8.23
 996000000,  54.71,   8.07
 997000000,  54.71,   8.10
 998000000,  54.71,   8.22
 999000000,  54.72,   8.21
1000000000,  54.72,   8.20
1001000000,  54.73,   8.19
1002000000,  54.74,   8.26
1003000000,  54.75,   8.31
1004000000,  54.75,   8.36
1005000000,  54.76,   8.42
1006000000,  54.77,   8.35
1007000000,  54.77,   8.31
1008000000,  54.79,   8.28
1009000000,  54.80,   8.36
1010000000,  54.78,   8.48
1011000000,  54.81,   8.52
1012000000,  54.81,   8.38
1013000000,  54.83,   8.35
1014000000,  54.85,   8.39
1015000000,  54.84,   8.34
1016000000,  54.86,   8.47
1017000000,  54.87,   8.48
1018000000,  54.89,   8.50
1019000000,  54.88,   8.51
1020000000,  54.89,   8.52
1021000000,  54.91,   8.48
1022000000,  54.92,   8.44
1023000000,  54.92,   8.49
1024000000,  54.93,   8.51
1025000000,  54.93,   8.54
1026000000,  54.94,   8.52
1027000000,  54.95,   8.59
1028000000,  54.95,   8.49
1029000000,  54.96,   8.52
1030000000,  54.99,   8.49
1031000000,  54.98,   8.45
1032000000,  54.99,   8.54
1033000000,  54.99,   8.62
1034000000,  54.99,   8.64
1035000000,  55.00,   8.60
1036000000,  54.99,   8.55
1037000000,  54.99,   8.43
1038000000,  55.01,   8.45
1039000000,  55.00,   8.50
1040000000,  55.01,   8.46
1041000000,  55.02,   8.52
1042000000,  55.01,   8.58
1043000000,  55.01,   8.55
1044000000,  55.01,   8.51
1045000000,  55.01,   8.53
1046000000,  55.00,   8.53
1047000000,  55.01,   8.46
