% f (Hz),	G_rec (dB),	T_e_rec (K)
1590603136.000000,	54.315217,	7.854183
1591601792.000000,	54.317804,	7.798459
1592600576.000000,	54.304974,	7.861174
1593599232.000000,	54.251805,	8.047072
1594597888.000000,	54.267065,	7.867727
1595596672.000000,	54.229889,	7.937842
1596595328.000000,	54.214345,	7.914080
1597593984.000000,	54.197421,	8.075056
1598592768.000000,	54.177606,	8.138518
1599591424.000000,	54.163873,	8.048887
1600590080.000000,	54.152242,	8.005664
1601588864.000000,	54.141279,	8.019236
1602587520.000000,	54.126591,	7.968496
1603586304.000000,	54.099222,	8.171937
1604584960.000000,	54.116972,	7.947566
1605583616.000000,	54.076445,	8.196182
1606582400.000000,	54.085807,	8.010463
1607581056.000000,	54.060400,	8.119448
1608579712.000000,	54.045990,	8.058704
1609578496.000000,	54.036893,	8.163734
1610577152.000000,	54.028555,	8.134635
1611575936.000000,	54.020554,	8.110231
1612574592.000000,	54.011813,	8.175983
1613573248.000000,	53.999902,	8.146022
1614572032.000000,	53.969158,	8.266795
1615570688.000000,	53.984965,	8.043195
1616569344.000000,	53.966700,	8.114749
1617568128.000000,	53.946190,	8.128689
1618566784.000000,	53.929984,	8.218754
1619565440.000000,	53.907364,	8.140943
1620564224.000000,	53.915425,	8.220863
1621562880.000000,	53.892678,	8.288974
1622561664.000000,	53.885787,	8.093674
1623560320.000000,	53.891487,	8.175251
1624558976.000000,	53.865466,	8.409935
1625557760.000000,	53.868374,	8.318866
1626556416.000000,	53.866951,	8.128587
1627555072.000000,	53.862237,	8.105489
1628553856.000000,	53.858784,	8.138841
1629552512.000000,	53.850155,	8.149452
1630551296.000000,	53.846459,	8.073848
1631549952.000000,	53.858453,	8.080376
1632548608.000000,	53.838172,	8.120980
1633547392.000000,	53.844150,	7.860815
1634546048.000000,	53.848117,	7.979885
1635544704.000000,	53.834391,	8.005685
1636543488.000000,	53.855039,	7.692242
1637542144.000000,	53.831201,	8.082095
1638540800.000000,	53.840245,	7.984782
1639539584.000000,	53.830468,	8.090135
1640538240.000000,	53.843684,	7.820499
1641537024.000000,	53.839551,	7.856495
1642535680.000000,	53.838235,	7.724049
1643534336.000000,	53.822461,	7.921079
1644533120.000000,	53.823795,	7.782151
1645531776.000000,	53.844248,	7.676354
1646530432.000000,	53.844004,	7.570847
1647529216.000000,	53.841064,	7.600376
1648527872.000000,	53.844502,	7.666452
1649526528.000000,	53.854485,	7.597816
1650525312.000000,	53.840760,	7.587474
1651523968.000000,	53.850224,	7.650660
1652522752.000000,	53.821208,	7.735924
1653521408.000000,	53.834775,	7.536877
1654520064.000000,	53.832111,	7.568317
1655518848.000000,	53.828947,	7.594387
1656517504.000000,	53.829019,	7.526559
1657516160.000000,	53.813074,	7.651687
1658514944.000000,	53.808715,	7.610839
1659513600.000000,	53.805126,	7.692276
1660512384.000000,	53.796374,	7.687728
1661511040.000000,	53.804892,	7.641596
1662509696.000000,	53.798478,	7.660392
1663508480.000000,	53.805760,	7.751997
1664507136.000000,	53.793932,	7.726134
1665505792.000000,	53.794546,	7.593149
1666504576.000000,	53.761814,	7.823719
1667503232.000000,	53.765882,	7.875112
1668501888.000000,	53.768392,	7.797618
1669500672.000000,	53.765076,	7.636090

