% f (Hz),	G_rec (dB),	T_e_rec (K)
1063287936.000000,	54.284109,	7.027812
1064286656.000000,	54.267006,	7.002344
1065285312.000000,	54.279920,	6.971082
1066284032.000000,	54.274226,	6.954123
1067282752.000000,	54.287741,	7.022294
1068281472.000000,	54.291006,	6.970993
1069280128.000000,	54.284750,	7.038307
1070278848.000000,	54.293285,	6.984131
1071277568.000000,	54.289380,	6.911135
1072276288.000000,	54.288926,	6.909387
1073274944.000000,	54.290219,	6.890536
1074273664.000000,	54.272229,	7.055604
1075272320.000000,	54.282144,	6.843835
1076271104.000000,	54.250590,	7.047066
1077269760.000000,	54.235552,	7.000853
1078268544.000000,	54.242215,	7.105036
1079267200.000000,	54.232048,	6.990565
1080265856.000000,	54.223280,	6.958969
1081264640.000000,	54.219508,	6.964454
1082263296.000000,	54.200730,	7.045086
1083261952.000000,	54.206945,	7.216542
1084260736.000000,	54.217040,	7.002135
1085259392.000000,	54.201999,	7.154550
1086258048.000000,	54.206851,	7.140252
1087256832.000000,	54.226898,	7.018294
1088255488.000000,	54.225794,	7.069849
1089254272.000000,	54.223538,	7.275656
1090252928.000000,	54.242704,	7.148977
1091251584.000000,	54.235123,	7.112888
1092250368.000000,	54.256848,	7.149640
1093249024.000000,	54.256579,	7.101403
1094247680.000000,	54.245219,	7.394467
1095246464.000000,	54.261126,	7.326525
1096245120.000000,	54.268454,	7.179430
1097243776.000000,	54.246863,	7.266453
1098242560.000000,	54.252217,	7.228182
1099241216.000000,	54.236061,	7.342950
1100240000.000000,	54.230190,	7.252803
1101238656.000000,	54.214750,	7.342994
1102237312.000000,	54.217244,	7.331591
1103236096.000000,	54.204544,	7.264539
1104234752.000000,	54.193764,	7.430187
1105233408.000000,	54.207852,	7.327790
1106232192.000000,	54.192613,	7.357376
1107230848.000000,	54.191261,	7.410926
1108229632.000000,	54.188275,	7.419388
1109228288.000000,	54.176577,	7.342108
1110226944.000000,	54.193553,	7.362159
1111225728.000000,	54.202550,	7.305358
1112224384.000000,	54.204863,	7.357576
1113223040.000000,	54.217474,	7.369755
1114221824.000000,	54.200805,	7.485791
1115220480.000000,	54.227945,	7.347441
1116219136.000000,	54.224778,	7.436174
1117217920.000000,	54.212783,	7.550567
1118216576.000000,	54.232494,	7.511475
1119215360.000000,	54.244542,	7.423806
1120214016.000000,	54.237461,	7.604442
1121212672.000000,	54.214668,	7.540603
1122211456.000000,	54.216635,	7.536514
1123210112.000000,	54.210739,	7.542863
1124208768.000000,	54.192034,	7.548884
1125207552.000000,	54.194353,	7.464759
1126206208.000000,	54.194970,	7.402636
1127204992.000000,	54.175288,	7.519430
1128203648.000000,	54.174379,	7.480463
1129202304.000000,	54.166294,	7.590447
1130201088.000000,	54.169170,	7.721114
1131199744.000000,	54.197476,	7.405673
1132198400.000000,	54.167606,	7.611186
1133197184.000000,	54.191839,	7.500833
1134195840.000000,	54.193686,	7.534522
1135194496.000000,	54.197216,	7.565477
1136193280.000000,	54.218404,	7.398725
1137191936.000000,	54.240175,	7.433124
1138190720.000000,	54.257638,	7.482622
1139189376.000000,	54.274784,	7.486426
1140188032.000000,	54.288227,	7.513885
1141186816.000000,	54.289663,	7.499661
1142185472.000000,	54.300061,	7.495613
1143184128.000000,	54.323767,	7.386131
1144182912.000000,	54.314614,	7.463821
1145181568.000000,	54.312666,	7.529186
1146180224.000000,	54.318480,	7.370259
1147179008.000000,	54.305704,	7.492553
1148177664.000000,	54.305808,	7.459003
1149176448.000000,	54.301061,	7.382728
1150175104.000000,	54.297624,	7.382303
1151173760.000000,	54.277482,	7.541568
1152172544.000000,	54.308266,	7.404721
1153171200.000000,	54.289729,	7.389426
1154169856.000000,	54.286018,	7.459750
1155168640.000000,	54.285744,	7.400497
1156167296.000000,	54.294829,	7.271487
1157166080.000000,	54.297304,	7.331518
1158164736.000000,	54.311382,	7.321106
1159163392.000000,	54.319109,	7.218173
1160162176.000000,	54.342526,	7.204022
1161160832.000000,	54.353703,	7.107583
1162159488.000000,	54.361087,	7.165853
1163158272.000000,	54.349559,	7.424522
1164156928.000000,	54.394554,	7.192483
1165155584.000000,	54.382880,	7.358627
1166154368.000000,	54.391099,	7.199446
1167153024.000000,	54.398635,	7.264211
1168151808.000000,	54.402789,	7.358325
1169150464.000000,	54.417221,	7.138026
1170149120.000000,	54.408110,	7.182555
1171147904.000000,	54.405964,	7.217486
1172146560.000000,	54.388822,	7.406957
1173145216.000000,	54.404053,	7.224516
1174144000.000000,	54.388782,	7.238182
1175142656.000000,	54.396083,	7.275482
1176141312.000000,	54.392239,	7.176125
1177140096.000000,	54.382996,	7.429340
1178138752.000000,	54.384149,	7.349320
1179137536.000000,	54.379338,	7.285856
1180136192.000000,	54.381703,	7.469802
1181134848.000000,	54.394146,	7.315865
1182133632.000000,	54.386361,	7.377645
1183132288.000000,	54.400777,	7.426269
1184130944.000000,	54.415681,	7.317756
1185129728.000000,	54.432827,	7.373805
1186128384.000000,	54.422835,	7.427022
1187127168.000000,	54.439278,	7.217149
1188125824.000000,	54.429587,	7.422191
1189124480.000000,	54.416711,	7.419848
1190123264.000000,	54.416806,	7.488889
1191121920.000000,	54.417260,	7.446667
1192120576.000000,	54.391282,	7.519599
1193119360.000000,	54.401071,	7.408017
1194118016.000000,	54.405724,	7.458529
1195116672.000000,	54.388407,	7.633957
1196115456.000000,	54.402346,	7.545701
1197114112.000000,	54.384531,	7.476686
1198112896.000000,	54.378576,	7.568328
1199111552.000000,	54.375074,	7.598525
1200110208.000000,	54.368155,	7.585440
1201108992.000000,	54.350383,	7.652526
1202107648.000000,	54.357631,	7.618185
1203106304.000000,	54.372640,	7.575746
1204105088.000000,	54.357668,	7.598242
1205103744.000000,	54.372736,	7.464042
1206102528.000000,	54.359085,	7.651143
1207101184.000000,	54.347164,	7.721480
1208099840.000000,	54.361611,	7.583062
1209098624.000000,	54.337728,	7.671277
1210097280.000000,	54.342008,	7.731270
1211095936.000000,	54.350422,	7.670102
1212094720.000000,	54.335085,	7.705442
1213093376.000000,	54.332314,	7.804090
1214092032.000000,	54.348273,	7.728200
1215090816.000000,	54.343022,	7.767892
1216089472.000000,	54.342377,	7.587766
1217088256.000000,	54.347304,	7.760752
1218086912.000000,	54.344865,	7.739310
1219085568.000000,	54.338197,	7.814374
1220084352.000000,	54.334542,	7.815954
1221083008.000000,	54.337834,	7.809012
1222081664.000000,	54.343514,	7.842550
1223080448.000000,	54.341484,	7.801398
1224079104.000000,	54.341495,	7.863554
1225077760.000000,	54.348483,	7.797332
1226076544.000000,	54.311897,	7.959566
1227075200.000000,	54.334691,	7.828249
