% f (Hz),G_rec (dB),T_e_rec (K)
1111000000,  54.33,   8.68
1112000000,  54.34,   8.44
1113000000,  54.35,   8.60
1114000000,  54.34,   8.62
1115000000,  54.36,   8.59
1116000000,  54.37,   8.49
1117000000,  54.38,   8.50
1118000000,  54.38,   8.48
1119000000,  54.39,   8.55
1120000000,  54.40,   8.49
1121000000,  54.41,   8.46
1122000000,  54.41,   8.64
1123000000,  54.42,   8.62
1124000000,  54.43,   8.53
1125000000,  54.45,   8.52
1126000000,  54.46,   8.63
1127000000,  54.47,   8.50
1128000000,  54.49,   8.57
1129000000,  54.50,   8.51
1130000000,  54.50,   8.55
1131000000,  54.51,   8.40
1132000000,  54.53,   8.62
1133000000,  54.54,   8.62
1134000000,  54.54,   8.73
1135000000,  54.56,   8.51
1136000000,  54.56,   8.59
1137000000,  54.57,   8.50
1138000000,  54.59,   8.54
1139000000,  54.58,   8.37
1140000000,  54.59,   8.57
1141000000,  54.60,   8.49
1142000000,  54.61,   8.52
1143000000,  54.62,   8.62
1144000000,  54.63,   8.61
1145000000,  54.63,   8.36
1146000000,  54.64,   8.54
1147000000,  54.64,   8.56
1148000000,  54.64,   8.57
1149000000,  54.64,   8.51
1150000000,  54.65,   8.51
1151000000,  54.65,   8.54
1152000000,  54.65,   8.66
1153000000,  54.65,   8.54
1154000000,  54.67,   8.57
1155000000,  54.66,   8.50
1156000000,  54.66,   8.35
1157000000,  54.67,   8.65
1158000000,  54.67,   8.41
1159000000,  54.66,   8.53
1160000000,  54.65,   8.66
1161000000,  54.65,   8.43
1162000000,  54.65,   8.38
1163000000,  54.66,   8.47
1164000000,  54.64,   8.49
1165000000,  54.64,   8.47
1166000000,  54.62,   8.43
1167000000,  54.63,   8.58
1168000000,  54.61,   8.46
1169000000,  54.60,   8.42
1170000000,  54.60,   8.53
1171000000,  54.60,   8.42
1172000000,  54.59,   8.58
1173000000,  54.58,   8.52
1174000000,  54.57,   8.46
1175000000,  54.56,   8.57
1176000000,  54.55,   8.80
1177000000,  54.54,   8.51
1178000000,  54.53,   8.66
1179000000,  54.53,   8.74
1180000000,  54.51,   8.55
1181000000,  54.50,   8.63
1182000000,  54.48,   8.64
1183000000,  54.49,   8.70
1184000000,  54.46,   8.62
1185000000,  54.45,   8.49
1186000000,  54.45,   8.70
1187000000,  54.42,   8.76
1188000000,  54.41,   8.81
1189000000,  54.41,   8.72
1190000000,  54.40,   8.87
1191000000,  54.39,   8.82
1192000000,  54.38,   8.74
1193000000,  54.36,   8.85
1194000000,  54.36,   8.82
1195000000,  54.35,   8.79
1196000000,  54.34,   8.75
1197000000,  54.32,   8.85
1198000000,  54.31,   8.85
1199000000,  54.31,   8.89
1200000000,  54.29,   8.96
1201000000,  54.28,   9.01
1202000000,  54.28,   8.99
1203000000,  54.28,   8.99
1204000000,  54.27,   8.90
1205000000,  54.27,   9.12
1206000000,  54.27,   8.97
1207000000,  54.26,   8.97
1208000000,  54.25,   8.92
1209000000,  54.25,   9.01
1210000000,  54.24,   8.96
1211000000,  54.24,   8.85
1212000000,  54.24,   9.04
1213000000,  54.23,   9.01
1214000000,  54.23,   9.16
1215000000,  54.23,   8.92
1216000000,  54.23,   9.09
1217000000,  54.23,   9.08
1218000000,  54.24,   9.11
1219000000,  54.25,   8.99
1220000000,  54.26,   8.96
1221000000,  54.26,   9.05
1222000000,  54.27,   8.98
1223000000,  54.27,   8.91
1224000000,  54.27,   8.87
1225000000,  54.29,   8.97
1226000000,  54.30,   8.91
1227000000,  54.30,   9.07
1228000000,  54.30,   8.91
1229000000,  54.31,   9.07
1230000000,  54.33,   9.00
1231000000,  54.33,   8.91
1232000000,  54.34,   8.79
1233000000,  54.35,   9.00
1234000000,  54.36,   8.85
1235000000,  54.37,   8.78
1236000000,  54.39,   8.83
1237000000,  54.40,   8.72
1238000000,  54.41,   8.81
1239000000,  54.42,   8.75
1240000000,  54.44,   8.85
1241000000,  54.45,   8.84
1242000000,  54.46,   8.80
1243000000,  54.48,   8.77
1244000000,  54.48,   8.95
1245000000,  54.50,   8.69
1246000000,  54.52,   8.77
1247000000,  54.53,   8.50
1248000000,  54.55,   8.62
1249000000,  54.58,   8.64
1250000000,  54.58,   8.59
1251000000,  54.60,   8.59
1252000000,  54.61,   8.63
1253000000,  54.63,   8.48
1254000000,  54.64,   8.65
1255000000,  54.66,   8.51
1256000000,  54.68,   8.34
1257000000,  54.69,   8.53
1258000000,  54.70,   8.35
1259000000,  54.72,   8.47
1260000000,  54.74,   8.31
1261000000,  54.76,   8.35
1262000000,  54.77,   8.19
1263000000,  54.78,   8.28
1264000000,  54.80,   8.22
1265000000,  54.82,   8.25
1266000000,  54.84,   8.19
1267000000,  54.85,   8.04
1268000000,  54.87,   8.18
1269000000,  54.89,   8.18
1270000000,  54.89,   7.97
1271000000,  54.92,   7.90
1272000000,  54.93,   8.09
1273000000,  54.94,   7.98
1274000000,  54.96,   8.08
1275000000,  54.98,   8.03
1276000000,  54.99,   8.00
1277000000,  54.99,   7.75
1278000000,  55.01,   7.95
1279000000,  55.02,   7.88
1280000000,  55.02,   7.82
1281000000,  55.04,   7.83
1282000000,  55.05,   7.93
1283000000,  55.05,   7.78
1284000000,  55.06,   7.63
1285000000,  55.07,   7.84
1286000000,  55.07,   7.88
1287000000,  55.09,   7.78
1288000000,  55.10,   7.81
1289000000,  55.10,   7.78
1290000000,  55.10,   7.84
1291000000,  55.11,   7.85
1292000000,  55.11,   7.83
1293000000,  55.10,   7.69
1294000000,  55.12,   7.74
1295000000,  55.12,   7.75
1296000000,  55.12,   7.76
1297000000,  55.12,   7.71
1298000000,  55.12,   7.79
1299000000,  55.12,   7.55
1300000000,  55.13,   7.54
1301000000,  55.12,   7.72
1302000000,  55.12,   7.63
1303000000,  55.11,   7.71
1304000000,  55.11,   7.83
1305000000,  55.11,   7.71
1306000000,  55.09,   7.71
1307000000,  55.09,   7.79
1308000000,  55.09,   7.78
1309000000,  55.07,   7.74
1310000000,  55.09,   7.62
1311000000,  55.06,   7.66
1312000000,  55.07,   7.69
1313000000,  55.06,   7.78
1314000000,  55.05,   7.71
1315000000,  55.04,   7.71
1316000000,  55.04,   7.60
1317000000,  55.03,   7.79
1318000000,  55.02,   7.85
1319000000,  55.02,   7.79
1320000000,  55.01,   7.81
1321000000,  55.00,   7.73
1322000000,  54.99,   7.75
1323000000,  54.99,   7.88
1324000000,  54.98,   7.71
1325000000,  54.96,   7.65
1326000000,  54.95,   7.57
1327000000,  54.94,   7.85
1328000000,  54.94,   7.85
1329000000,  54.93,   7.78
1330000000,  54.91,   7.83
1331000000,  54.90,   7.92
1332000000,  54.89,   7.84
1333000000,  54.88,   7.89
1334000000,  54.86,   7.97
1335000000,  54.85,   7.98
1336000000,  54.84,   7.99
1337000000,  54.82,   7.98
1338000000,  54.81,   7.95
1339000000,  54.80,   7.99
1340000000,  54.79,   7.93
1341000000,  54.79,   8.03
1342000000,  54.78,   8.15
1343000000,  54.76,   8.14
1344000000,  54.75,   8.12
1345000000,  54.75,   8.27
1346000000,  54.75,   8.17
1347000000,  54.74,   8.30
1348000000,  54.73,   8.11
1349000000,  54.74,   8.15
1350000000,  54.73,   8.32
1351000000,  54.74,   8.20
1352000000,  54.74,   8.23
1353000000,  54.74,   8.37
1354000000,  54.73,   8.13
1355000000,  54.73,   8.12
1356000000,  54.73,   8.11
1357000000,  54.73,   8.41
1358000000,  54.71,   8.32
1359000000,  54.70,   8.27
1360000000,  54.70,   8.36
1361000000,  54.71,   8.24
1362000000,  54.69,   8.26
1363000000,  54.70,   8.34
1364000000,  54.69,   8.30
1365000000,  54.69,   8.32
1366000000,  54.69,   8.22
1367000000,  54.69,   8.36
1368000000,  54.68,   8.33
1369000000,  54.68,   8.21
1370000000,  54.68,   8.39
1371000000,  54.68,   8.38
1372000000,  54.68,   8.23
1373000000,  54.67,   8.26
1374000000,  54.67,   8.40
1375000000,  54.68,   8.31
1376000000,  54.66,   8.47
1377000000,  54.67,   8.55
1378000000,  54.67,   8.52
1379000000,  54.66,   8.54
1380000000,  54.66,   8.54
1381000000,  54.67,   8.49
1382000000,  54.66,   8.52
1383000000,  54.66,   8.52
1384000000,  54.66,   8.55
1385000000,  54.66,   8.58
1386000000,  54.66,   8.66
1387000000,  54.65,   8.60
1388000000,  54.66,   8.63
1389000000,  54.67,   8.70
1390000000,  54.65,   8.58
1391000000,  54.67,   8.71
1392000000,  54.66,   8.73
1393000000,  54.65,   8.77
1394000000,  54.66,   8.90
1395000000,  54.66,   8.87
1396000000,  54.65,   8.82
1397000000,  54.64,   9.12
1398000000,  54.63,   9.15
1399000000,  54.62,   9.09
1400000000,  54.62,   9.37
1401000000,  54.62,   9.33
1402000000,  54.60,   9.48
1403000000,  54.58,   9.65
1404000000,  54.58,   9.67
1405000000,  54.57,   9.83
1406000000,  54.55,   9.87
1407000000,  54.55,  10.09
1408000000,  54.56,  10.30
1409000000,  54.56,  10.17
1410000000,  54.56,  10.05
1411000000,  54.57,   9.94
1412000000,  54.59,  10.02
1413000000,  54.59,   9.75
1414000000,  54.61,   9.78
1415000000,  54.62,   9.35
1416000000,  54.63,   9.44
1417000000,  54.63,   9.39
1418000000,  54.63,   9.24
1419000000,  54.64,   9.16
1420000000,  54.64,   9.01
1421000000,  54.64,   8.77
1422000000,  54.63,   8.83
1423000000,  54.64,   8.63
1424000000,  54.63,   8.64
1425000000,  54.63,   8.60
1426000000,  54.63,   8.57
1427000000,  54.61,   8.60
1428000000,  54.60,   8.62
1429000000,  54.59,   8.62
1430000000,  54.59,   8.58
1431000000,  54.58,   8.58
1432000000,  54.57,   8.74
1433000000,  54.56,   8.52
1434000000,  54.56,   8.85
1435000000,  54.54,   8.71
1436000000,  54.53,   8.79
1437000000,  54.52,   8.86
1438000000,  54.52,   8.96
1439000000,  54.50,   8.97
1440000000,  54.50,   9.13
1441000000,  54.49,   9.24
1442000000,  54.48,   9.25
1443000000,  54.47,   9.44
1444000000,  54.47,   9.59
1445000000,  54.46,   9.45
1446000000,  54.45,   9.55
1447000000,  54.44,   9.57
1448000000,  54.44,   9.64
1449000000,  54.44,   9.59
1450000000,  54.43,   9.49
1451000000,  54.42,   9.47
1452000000,  54.42,   9.62
1453000000,  54.40,   9.49
1454000000,  54.41,   9.30
1455000000,  54.40,   9.34
1456000000,  54.40,   9.25
1457000000,  54.39,   9.33
1458000000,  54.38,   9.25
1459000000,  54.37,   9.18
1460000000,  54.37,   9.24
1461000000,  54.37,   9.04
1462000000,  54.36,   9.14
1463000000,  54.35,   8.99
1464000000,  54.34,   9.14
1465000000,  54.33,   9.09
1466000000,  54.32,   9.12
1467000000,  54.32,   8.93
1468000000,  54.31,   9.08
1469000000,  54.30,   9.18
1470000000,  54.29,   9.06
1471000000,  54.28,   9.10
1472000000,  54.27,   9.27
1473000000,  54.27,   9.26
1474000000,  54.26,   9.24
1475000000,  54.24,   9.32
1476000000,  54.23,   9.34
1477000000,  54.23,   9.29
1478000000,  54.21,   9.16
1479000000,  54.21,   9.28
1480000000,  54.21,   9.18
1481000000,  54.20,   9.35
1482000000,  54.21,   9.22
1483000000,  54.21,   9.21
1484000000,  54.19,   9.24
1485000000,  54.19,   9.20
1486000000,  54.19,   9.25
1487000000,  54.18,   9.06
1488000000,  54.19,   9.17
1489000000,  54.17,   9.20
1490000000,  54.17,   9.16
1491000000,  54.17,   9.17
1492000000,  54.16,   9.16
1493000000,  54.17,   9.21
1494000000,  54.16,   9.02
1495000000,  54.16,   9.07
1496000000,  54.15,   8.99
1497000000,  54.15,   9.17
1498000000,  54.14,   9.12
1499000000,  54.15,   9.30
1500000000,  54.13,   9.15
1501000000,  54.13,   9.13
1502000000,  54.14,   9.17
1503000000,  54.13,   8.96
1504000000,  54.13,   9.02
1505000000,  54.13,   9.09
1506000000,  54.12,   9.08
1507000000,  54.13,   9.07
1508000000,  54.14,   9.14
1509000000,  54.12,   9.13
