% f (Hz),G_rec (dB),T_e_rec (K)
1111000000,  54.40,   8.47
1112000000,  54.40,   8.51
1113000000,  54.41,   8.48
1114000000,  54.40,   8.51
1115000000,  54.41,   8.50
1116000000,  54.42,   8.54
1117000000,  54.43,   8.45
1118000000,  54.43,   8.41
1119000000,  54.43,   8.54
1120000000,  54.44,   8.62
1121000000,  54.45,   8.52
1122000000,  54.45,   8.30
1123000000,  54.46,   8.47
1124000000,  54.46,   8.32
1125000000,  54.48,   8.58
1126000000,  54.49,   8.53
1127000000,  54.50,   8.63
1128000000,  54.51,   8.53
1129000000,  54.52,   8.46
1130000000,  54.52,   8.54
1131000000,  54.53,   8.48
1132000000,  54.55,   8.49
1133000000,  54.56,   8.62
1134000000,  54.56,   8.42
1135000000,  54.59,   8.49
1136000000,  54.59,   8.56
1137000000,  54.60,   8.54
1138000000,  54.61,   8.50
1139000000,  54.61,   8.52
1140000000,  54.62,   8.57
1141000000,  54.63,   8.56
1142000000,  54.64,   8.40
1143000000,  54.66,   8.44
1144000000,  54.67,   8.64
1145000000,  54.67,   8.51
1146000000,  54.68,   8.42
1147000000,  54.69,   8.56
1148000000,  54.70,   8.46
1149000000,  54.71,   8.51
1150000000,  54.71,   8.42
1151000000,  54.72,   8.58
1152000000,  54.72,   8.34
1153000000,  54.73,   8.56
1154000000,  54.75,   8.25
1155000000,  54.74,   8.27
1156000000,  54.76,   8.48
1157000000,  54.76,   8.45
1158000000,  54.77,   8.43
1159000000,  54.78,   8.39
1160000000,  54.78,   8.29
1161000000,  54.79,   8.44
1162000000,  54.80,   8.31
1163000000,  54.81,   8.41
1164000000,  54.80,   8.41
1165000000,  54.81,   8.31
1166000000,  54.80,   8.25
1167000000,  54.82,   8.29
1168000000,  54.81,   8.26
1169000000,  54.82,   8.30
1170000000,  54.81,   8.29
1171000000,  54.83,   8.43
1172000000,  54.83,   8.35
1173000000,  54.83,   8.11
1174000000,  54.82,   8.14
1175000000,  54.82,   8.46
1176000000,  54.83,   8.28
1177000000,  54.83,   8.41
1178000000,  54.83,   8.26
1179000000,  54.83,   8.29
1180000000,  54.82,   8.31
1181000000,  54.82,   8.27
1182000000,  54.82,   8.39
1183000000,  54.83,   8.28
1184000000,  54.81,   8.48
1185000000,  54.81,   8.24
1186000000,  54.82,   8.27
1187000000,  54.79,   8.23
1188000000,  54.79,   8.30
1189000000,  54.79,   8.25
1190000000,  54.80,   8.42
1191000000,  54.78,   8.48
1192000000,  54.78,   8.17
1193000000,  54.76,   8.33
1194000000,  54.76,   8.22
1195000000,  54.76,   8.25
1196000000,  54.76,   8.26
1197000000,  54.74,   8.23
1198000000,  54.74,   8.32
1199000000,  54.74,   8.42
1200000000,  54.72,   8.29
1201000000,  54.73,   8.25
1202000000,  54.73,   8.37
1203000000,  54.72,   8.32
1204000000,  54.72,   8.35
1205000000,  54.72,   8.38
1206000000,  54.72,   8.28
1207000000,  54.71,   8.47
1208000000,  54.70,   8.47
1209000000,  54.70,   8.43
1210000000,  54.70,   8.36
1211000000,  54.69,   8.44
1212000000,  54.69,   8.47
1213000000,  54.69,   8.43
1214000000,  54.68,   8.26
