% f (Hz),G_rec (dB),T_e_rec (K)
 900000000,  57.12,   9.31
 901000000,  57.11,   9.09
 902000000,  57.10,   8.91
 903000000,  57.09,   8.90
 904000000,  57.06,   8.93
 905000000,  57.06,   8.84
 906000000,  57.04,   8.79
 907000000,  57.03,   8.76
 908000000,  57.02,   8.70
 909000000,  57.03,   8.71
 910000000,  57.01,   8.74
 911000000,  57.00,   8.74
 912000000,  57.01,   8.72
 913000000,  56.99,   8.72
 914000000,  56.99,   8.72
 915000000,  56.99,   8.62
 916000000,  56.99,   8.53
 917000000,  56.99,   8.53
 918000000,  56.99,   8.49
 919000000,  57.00,   8.49
 920000000,  57.00,   8.46
 921000000,  56.99,   8.50
 922000000,  57.00,   8.50
 923000000,  57.00,   8.40
 924000000,  56.99,   8.43
 925000000,  57.01,   8.45
 926000000,  57.00,   8.47
 927000000,  57.01,   8.50
 928000000,  57.01,   8.55
 929000000,  57.02,   8.57
 930000000,  57.02,   8.43
 931000000,  57.02,   8.41
 932000000,  57.03,   8.41
 933000000,  57.03,   8.43
 934000000,  57.03,   8.48
 935000000,  57.03,   8.43
 936000000,  57.03,   8.46
 937000000,  57.04,   8.41
 938000000,  57.04,   8.40
 939000000,  57.04,   8.40
 940000000,  57.03,   8.39
 941000000,  57.03,   8.38
 942000000,  57.04,   8.33
 943000000,  57.04,   8.31
 944000000,  57.03,   8.35
 945000000,  57.03,   8.39
 946000000,  57.02,   8.38
 947000000,  57.01,   8.27
 948000000,  57.00,   8.25
 949000000,  57.00,   8.31
 950000000,  56.99,   8.29
 951000000,  56.98,   8.26
 952000000,  56.98,   8.18
 953000000,  56.96,   8.09
 954000000,  56.95,   8.07
 955000000,  56.94,   8.10
 956000000,  56.94,   8.20
 957000000,  56.93,   8.17
 958000000,  56.92,   7.90
 959000000,  56.90,   7.85
 960000000,  56.88,   8.08
 961000000,  56.87,   8.12
 962000000,  56.86,   8.10
 963000000,  56.85,   8.05
 964000000,  56.83,   7.98
 965000000,  56.82,   7.92
 966000000,  56.80,   7.83
 967000000,  56.78,   7.90
 968000000,  56.77,   7.89
 969000000,  56.76,   7.90
 970000000,  56.75,   7.81
 971000000,  56.74,   7.79
