#RxL_SN4003_calculated_noise_V_chan
# f (Hz),T_e_cal (K)
1216000000,  17.94
1217000000,  18.10
1218000000,  18.20
1219000000,  18.33
1220000000,  18.35
1221000000,  18.37
1222000000,  18.43
1223000000,  18.72
1224000000,  18.60
1225000000,  18.61
1226000000,  18.60
1227000000,  18.74
1228000000,  18.68
1229000000,  18.83
1230000000,  18.88
1231000000,  18.85
1232000000,  18.96
1233000000,  18.76
1234000000,  19.00
1235000000,  19.03
1236000000,  19.16
1237000000,  19.16
1238000000,  19.34
1239000000,  19.31
1240000000,  19.44
1241000000,  19.45
1242000000,  19.48
1243000000,  19.56
1244000000,  19.53
1245000000,  19.60
1246000000,  19.74
1247000000,  20.12
1248000000,  19.96
1249000000,  19.92
1250000000,  20.09
1251000000,  20.19
1252000000,  20.13
1253000000,  20.36
1254000000,  20.30
1255000000,  20.16
1256000000,  20.37
1257000000,  20.63
1258000000,  20.67
1259000000,  20.89
1260000000,  20.98
1261000000,  21.14
1262000000,  21.05
1263000000,  21.29
1264000000,  21.18
1265000000,  21.13
1266000000,  21.43
1267000000,  21.23
1268000000,  21.32
1269000000,  21.53
1270000000,  21.57
1271000000,  21.64
1272000000,  21.77
1273000000,  21.74
1274000000,  21.65
1275000000,  21.78
1276000000,  21.94
1277000000,  21.83
1278000000,  21.70
1279000000,  21.79
1280000000,  21.96
1281000000,  22.13
1282000000,  21.72
1283000000,  22.06
1284000000,  21.93
1285000000,  21.85
1286000000,  21.79
1287000000,  21.84
1288000000,  21.87
1289000000,  22.30
1290000000,  22.13
1291000000,  21.82
1292000000,  21.70
1293000000,  22.07
1294000000,  21.93
1295000000,  21.75
1296000000,  22.15
1297000000,  21.92
1298000000,  21.77
1299000000,  21.88
1300000000,  21.74
1301000000,  21.57
1302000000,  21.88
1303000000,  21.93
1304000000,  21.71
1305000000,  21.91
1306000000,  21.67
1307000000,  21.45
1308000000,  21.74
1309000000,  21.47
1310000000,  21.67
1311000000,  21.57
1312000000,  21.42
1313000000,  21.46
1314000000,  21.43
1315000000,  21.41
1316000000,  21.43
1317000000,  21.19
1318000000,  20.98
1319000000,  21.15
1320000000,  21.12
1321000000,  21.14
1322000000,  21.06
1323000000,  20.95
1324000000,  20.93
1325000000,  20.92
1326000000,  20.88
1327000000,  20.76
1328000000,  20.84
1329000000,  20.72
1330000000,  20.73
1331000000,  20.61
1332000000,  20.66
1333000000,  20.63
1334000000,  20.61
1335000000,  20.65
1336000000,  20.56
1337000000,  20.64
1338000000,  20.44
1339000000,  20.29
1340000000,  20.45
1341000000,  20.27
1342000000,  20.45
1343000000,  20.39
1344000000,  20.50
1345000000,  20.25
1346000000,  20.18
1347000000,  20.26
1348000000,  20.12
1349000000,  20.26
1350000000,  20.27
1351000000,  20.25
1352000000,  20.12
1353000000,  20.17
1354000000,  20.40
1355000000,  20.09
1356000000,  20.23
1357000000,  19.99
1358000000,  20.16
1359000000,  20.15
1360000000,  20.20
1361000000,  20.16
1362000000,  19.96
1363000000,  20.26
1364000000,  20.05
1365000000,  20.16
1366000000,  20.08
1367000000,  20.43
1368000000,  20.30
