#RxL_SN4006_calculated_noise_H_chan
# f (Hz),T_e_cal (K)
1216000000,  20.61
1217000000,  20.66
1218000000,  20.41
1219000000,  20.50
1220000000,  20.47
1221000000,  20.58
1222000000,  20.63
1223000000,  20.59
1224000000,  20.76
1225000000,  20.68
1226000000,  20.76
1227000000,  20.77
1228000000,  20.79
1229000000,  20.81
1230000000,  20.60
1231000000,  20.72
1232000000,  20.70
1233000000,  20.66
1234000000,  20.74
1235000000,  20.78
1236000000,  20.67
1237000000,  21.05
1238000000,  20.78
1239000000,  20.90
1240000000,  21.16
1241000000,  21.04
1242000000,  21.23
1243000000,  21.25
1244000000,  21.43
1245000000,  21.47
1246000000,  21.53
1247000000,  21.66
1248000000,  21.52
1249000000,  21.73
1250000000,  21.95
1251000000,  22.05
1252000000,  22.01
1253000000,  22.02
1254000000,  22.13
1255000000,  22.11
1256000000,  22.28
1257000000,  22.54
1258000000,  22.16
1259000000,  22.51
1260000000,  22.75
1261000000,  22.68
1262000000,  22.76
1263000000,  22.75
1264000000,  23.13
1265000000,  23.02
1266000000,  23.11
1267000000,  23.27
1268000000,  23.31
1269000000,  23.40
1270000000,  23.42
1271000000,  23.62
1272000000,  23.55
1273000000,  23.49
1274000000,  23.75
1275000000,  23.93
1276000000,  24.03
1277000000,  24.13
1278000000,  24.12
1279000000,  24.37
1280000000,  24.24
1281000000,  24.32
1282000000,  24.56
1283000000,  24.64
1284000000,  24.80
1285000000,  24.47
1286000000,  24.56
1287000000,  24.69
1288000000,  24.81
1289000000,  24.88
1290000000,  24.60
1291000000,  24.90
1292000000,  24.90
1293000000,  24.88
1294000000,  25.04
1295000000,  25.16
1296000000,  24.95
1297000000,  25.08
1298000000,  24.97
1299000000,  24.98
1300000000,  25.05
1301000000,  25.13
1302000000,  25.35
1303000000,  25.29
1304000000,  25.24
1305000000,  24.96
1306000000,  25.37
1307000000,  25.33
1308000000,  25.45
1309000000,  25.24
1310000000,  25.03
1311000000,  25.10
1312000000,  25.13
1313000000,  25.17
1314000000,  25.26
1315000000,  25.11
1316000000,  25.14
1317000000,  25.07
1318000000,  25.08
1319000000,  25.12
1320000000,  25.06
1321000000,  24.82
1322000000,  24.84
1323000000,  24.78
1324000000,  24.49
1325000000,  24.67
1326000000,  24.71
1327000000,  24.50
1328000000,  24.46
1329000000,  24.48
1330000000,  24.49
1331000000,  24.43
1332000000,  24.16
1333000000,  24.35
1334000000,  24.20
1335000000,  24.34
1336000000,  24.24
1337000000,  24.24
1338000000,  24.02
1339000000,  24.05
1340000000,  24.13
1341000000,  24.00
1342000000,  23.91
1343000000,  23.87
1344000000,  23.80
1345000000,  23.77
1346000000,  23.85
1347000000,  23.90
1348000000,  23.78
1349000000,  23.61
1350000000,  23.69
1351000000,  23.69
1352000000,  23.87
1353000000,  23.69
1354000000,  23.52
1355000000,  23.65
1356000000,  23.53
1357000000,  23.53
1358000000,  23.60
