#ZA [deg]	H @ _ MHz	V @ _ MHz	H @ _ MHz	V @ _ MHz	H @ _ MHz	V @ _ MHz	H @ _ MHz	V @ _ MHz	H @ _ MHz	V @ _ MHz
59	4.7479	5.4059	4.0146	4.6742	4.3863	4.6765	3.9639	4.5100	2.1269	2.3180
60	4.7401	5.3931	4.0110	4.6676	4.3874	4.6741	3.9742	4.5040	2.1277	2.3181
61	4.7320	5.3801	4.0079	4.6603	4.3895	4.6708	3.9861	4.4973	2.1293	2.3187
62	4.7239	5.3668	4.0057	4.6526	4.3926	4.6669	3.9995	4.4902	2.1317	2.3197
63	4.7161	5.3538	4.0041	4.6446	4.3967	4.6625	4.0143	4.4825	2.1349	2.3209
64	4.7085	5.3407	4.0033	4.6368	4.4017	4.6571	4.0302	4.4742	2.1391	2.3223
65	4.7019	5.3287	4.0032	4.6288	4.4075	4.6507	4.0472	4.4651	2.1440	2.3237
66	4.6958	5.3169	4.0036	4.6208	4.4137	4.6428	4.0650	4.4552	2.1495	2.3252
67	4.6906	5.3058	4.0046	4.6124	4.4199	4.6334	4.0836	4.4447	2.1555	2.3266
68	4.6859	5.2946	4.0060	4.6035	4.4260	4.6228	4.1027	4.4336	2.1618	2.3277
69	4.6821	5.2833	4.0079	4.5944	4.4315	4.6107	4.1221	4.4217	2.1679	2.3285
70	4.6790	5.2720	4.0102	4.5850	4.4362	4.5969	4.1414	4.4086	2.1737	2.3289
71	4.6768	5.2605	4.0131	4.5756	4.4399	4.5815	4.1604	4.3941	2.1790	2.3289
72	4.6756	5.2499	4.0167	4.5660	4.4424	4.5642	4.1786	4.3781	2.1836	2.3286
73	4.6750	5.2393	4.0212	4.5562	4.4438	4.5457	4.1956	4.3608	2.1875	2.3279
74	4.6754	5.2300	4.0268	4.5458	4.4440	4.5260	4.2112	4.3425	2.1907	2.3270
75	4.6762	5.2207	4.0335	4.5352	4.4432	4.5058	4.2254	4.3235	2.1934	2.3259
76	4.6778	5.2121	4.0412	4.5241	4.4418	4.4852	4.2386	4.3043	2.1956	2.3246
77	4.6799	5.2034	4.0499	4.5133	4.4402	4.4646	4.2514	4.2858	2.1974	2.3235
78	4.6839	5.1956	4.0598	4.5028	4.4392	4.4446	4.2645	4.2687	2.1991	2.3227
79	4.6912	5.1895	4.0719	4.4940	4.4405	4.4271	4.2791	4.2539	2.2010	2.3224
80	4.7015	5.1832	4.0865	4.4860	4.4455	4.4117	4.2994	4.2427	2.2055	2.3231
81	4.7170	5.1775	4.1106	4.4817	4.4604	4.3996	4.3267	4.2354	2.2171	2.3265
82	4.7445	5.1748	4.1487	4.4836	4.4881	4.3967	4.3633	4.2356	2.2364	2.3346
83	4.7854	5.1795	4.1977	4.4944	4.5296	4.4042	4.4108	4.2454	2.2640	2.3472
84	4.8412	5.1968	4.2631	4.5238	4.5859	4.4243	4.4691	4.2709	2.3003	2.3653
85	4.9224	5.2386	4.3421	4.5684	4.6630	4.4632	4.5402	4.3114	2.3475	2.3924
