#RxL_SN4006_calculated_noise_V_chan
# f (Hz),T_e_cal (K)
1216000000,  19.17
1217000000,  19.33
1218000000,  19.42
1219000000,  19.62
1220000000,  19.74
1221000000,  19.63
1222000000,  19.65
1223000000,  19.81
1224000000,  19.88
1225000000,  19.88
1226000000,  19.95
1227000000,  20.07
1228000000,  20.28
1229000000,  19.97
1230000000,  20.15
1231000000,  20.25
1232000000,  20.26
1233000000,  20.53
1234000000,  20.55
1235000000,  20.37
1236000000,  20.67
1237000000,  20.68
1238000000,  20.82
1239000000,  21.04
1240000000,  20.95
1241000000,  21.00
1242000000,  21.05
1243000000,  21.10
1244000000,  21.11
1245000000,  21.17
1246000000,  21.46
1247000000,  21.51
1248000000,  21.64
1249000000,  21.44
1250000000,  21.42
1251000000,  21.72
1252000000,  21.90
1253000000,  21.95
1254000000,  22.18
1255000000,  22.02
1256000000,  22.32
1257000000,  22.43
1258000000,  22.48
1259000000,  22.42
1260000000,  22.33
1261000000,  22.47
1262000000,  22.44
1263000000,  22.91
1264000000,  22.96
1265000000,  22.81
1266000000,  22.98
1267000000,  23.18
1268000000,  22.90
1269000000,  23.18
1270000000,  23.21
1271000000,  23.36
1272000000,  23.68
1273000000,  23.28
1274000000,  23.60
1275000000,  23.62
1276000000,  23.64
1277000000,  23.86
1278000000,  23.59
1279000000,  23.84
1280000000,  23.67
1281000000,  23.62
1282000000,  23.54
1283000000,  23.53
1284000000,  23.68
1285000000,  23.86
1286000000,  23.67
1287000000,  23.70
1288000000,  23.31
1289000000,  23.37
1290000000,  23.59
1291000000,  23.59
1292000000,  23.38
1293000000,  23.63
1294000000,  23.51
1295000000,  23.35
1296000000,  23.45
1297000000,  23.35
1298000000,  23.38
1299000000,  23.00
1300000000,  23.15
1301000000,  23.26
1302000000,  23.31
1303000000,  23.26
1304000000,  23.30
1305000000,  22.96
1306000000,  23.12
1307000000,  22.75
1308000000,  23.07
1309000000,  22.67
1310000000,  22.66
1311000000,  22.61
1312000000,  22.62
1313000000,  22.50
1314000000,  22.61
1315000000,  22.65
1316000000,  22.50
1317000000,  22.36
1318000000,  22.36
1319000000,  22.22
1320000000,  22.09
1321000000,  22.16
1322000000,  22.11
1323000000,  22.00
1324000000,  21.88
1325000000,  21.87
1326000000,  21.96
1327000000,  21.72
1328000000,  21.68
1329000000,  21.40
1330000000,  21.64
1331000000,  21.65
1332000000,  21.41
1333000000,  21.30
1334000000,  21.39
1335000000,  21.33
1336000000,  21.23
1337000000,  21.08
1338000000,  21.29
1339000000,  21.12
1340000000,  21.07
1341000000,  21.06
1342000000,  20.98
1343000000,  21.03
1344000000,  21.09
1345000000,  20.92
1346000000,  20.80
1347000000,  20.97
1348000000,  20.87
1349000000,  20.85
1350000000,  20.79
1351000000,  20.88
1352000000,  20.84
1353000000,  20.93
1354000000,  20.94
1355000000,  21.10
1356000000,  21.15
1357000000,  20.95
1358000000,  20.82
1359000000,  21.05
1360000000,  20.92
1361000000,  20.91
1362000000,  20.84
1363000000,  20.74
1364000000,  20.90
1365000000,  21.00
1366000000,  20.73
1367000000,  20.54
1368000000,  20.69
1369000000,  20.77
1370000000,  20.78
1371000000,  20.72
1372000000,  20.73
1373000000,  20.63
1374000000,  20.58
1375000000,  20.70
1376000000,  20.82
1377000000,  21.00
1378000000,  20.77
1379000000,  21.05
1380000000,  20.88
1381000000,  20.73
1382000000,  20.78
1383000000,  20.69
1384000000,  20.71
1385000000,  20.86
1386000000,  20.87
1387000000,  20.68
1388000000,  20.80
1389000000,  20.73
1390000000,  20.82
1391000000,  20.93
1392000000,  20.90
1393000000,  20.88
1394000000,  20.73
1395000000,  20.90
1396000000,  20.71
1397000000,  20.92
1398000000,  20.93
1399000000,  21.09
1400000000,  20.97
1401000000,  21.06
1402000000,  21.03
1403000000,  21.20
1404000000,  21.36
1405000000,  21.70
1406000000,  21.76
1407000000,  21.87
1408000000,  21.87
1409000000,  22.02
1410000000,  22.07
1411000000,  21.95
1412000000,  22.06
1413000000,  21.77
1414000000,  21.53
1415000000,  21.56
1416000000,  21.63
1417000000,  21.53
1418000000,  21.44
1419000000,  21.56
1420000000,  21.29
1421000000,  21.22
1422000000,  21.26
1423000000,  21.11
1424000000,  21.16
