#RxL_SN4002_calculated_noise_H_chan
# f (Hz),T_e_cal (K)
1216000000,  21.13
1217000000,  21.16
1218000000,  21.06
1219000000,  21.07
1220000000,  21.22
1221000000,  21.03
1222000000,  20.99
1223000000,  21.00
1224000000,  21.13
1225000000,  20.98
1226000000,  21.14
1227000000,  21.16
1228000000,  21.28
1229000000,  21.04
1230000000,  21.11
1231000000,  21.29
1232000000,  21.07
1233000000,  21.17
1234000000,  21.21
1235000000,  21.19
1236000000,  21.21
1237000000,  21.36
1238000000,  21.32
1239000000,  21.25
1240000000,  21.39
1241000000,  21.41
1242000000,  21.36
1243000000,  21.42
1244000000,  21.36
1245000000,  21.71
1246000000,  21.58
1247000000,  21.80
1248000000,  21.89
1249000000,  21.71
1250000000,  21.70
1251000000,  21.77
1252000000,  21.87
1253000000,  21.93
1254000000,  22.03
1255000000,  22.23
1256000000,  22.25
1257000000,  22.35
1258000000,  22.32
1259000000,  22.39
1260000000,  22.68
1261000000,  22.51
1262000000,  22.80
1263000000,  22.76
1264000000,  22.76
1265000000,  23.05
1266000000,  23.08
1267000000,  23.22
1268000000,  23.31
1269000000,  23.22
1270000000,  23.58
1271000000,  23.44
1272000000,  23.68
1273000000,  23.68
1274000000,  24.09
1275000000,  23.99
1276000000,  23.84
1277000000,  23.87
1278000000,  24.06
1279000000,  24.26
1280000000,  24.24
1281000000,  24.25
1282000000,  24.50
1283000000,  24.54
1284000000,  24.84
1285000000,  24.62
1286000000,  24.70
1287000000,  24.79
1288000000,  24.66
1289000000,  24.90
1290000000,  24.93
1291000000,  24.90
1292000000,  24.95
1293000000,  24.98
1294000000,  25.12
1295000000,  25.00
1296000000,  24.98
1297000000,  25.17
1298000000,  25.32
1299000000,  25.27
1300000000,  25.44
1301000000,  25.63
1302000000,  25.47
1303000000,  25.23
1304000000,  25.59
1305000000,  25.37
1306000000,  25.40
1307000000,  25.41
1308000000,  25.62
1309000000,  25.40
1310000000,  25.44
1311000000,  25.24
1312000000,  25.58
1313000000,  25.35
1314000000,  25.41
1315000000,  25.60
1316000000,  25.43
1317000000,  25.41
1318000000,  25.23
1319000000,  25.30
1320000000,  25.31
1321000000,  25.33
1322000000,  25.20
1323000000,  25.34
1324000000,  25.11
1325000000,  25.03
1326000000,  25.09
1327000000,  25.24
1328000000,  25.21
1329000000,  25.06
1330000000,  24.97
1331000000,  25.13
1332000000,  24.96
1333000000,  24.98
1334000000,  24.77
1335000000,  24.71
1336000000,  25.00
1337000000,  24.71
1338000000,  24.72
1339000000,  24.92
1340000000,  24.56
1341000000,  24.49
1342000000,  24.51
1343000000,  24.43
1344000000,  24.51
1345000000,  24.52
1346000000,  24.33
1347000000,  24.33
1348000000,  24.22
1349000000,  24.36
1350000000,  24.29
1351000000,  23.93
1352000000,  24.15
1353000000,  24.16
1354000000,  24.22
1355000000,  23.93
1356000000,  24.14
1357000000,  24.00
1358000000,  23.71
1359000000,  23.76
1360000000,  23.86
1361000000,  23.61
1362000000,  23.89
1363000000,  24.01
1364000000,  23.86
1365000000,  23.59
1366000000,  23.64
1367000000,  23.54
1368000000,  23.67
1369000000,  23.68
1370000000,  23.64
1371000000,  23.63
1372000000,  23.58
1373000000,  23.73
1374000000,  23.75
1375000000,  23.66
1376000000,  23.52
1377000000,  23.54
1378000000,  23.48
1379000000,  23.55
1380000000,  23.53
1381000000,  23.62
1382000000,  23.52
1383000000,  23.45
1384000000,  23.44
1385000000,  23.51
1386000000,  23.47
1387000000,  23.40
1388000000,  23.41
1389000000,  23.38
1390000000,  23.24
1391000000,  23.29
1392000000,  23.26
1393000000,  23.30
1394000000,  23.21
1395000000,  23.09
1396000000,  23.14
1397000000,  23.11
1398000000,  23.11
1399000000,  23.30
1400000000,  23.08
1401000000,  23.18
1402000000,  23.10
1403000000,  23.26
1404000000,  23.35
1405000000,  23.15
1406000000,  23.10
1407000000,  23.08
1408000000,  23.21
1409000000,  23.35
1410000000,  23.19
1411000000,  23.33
1412000000,  23.56
1413000000,  23.42
1414000000,  23.26
1415000000,  23.38
1416000000,  23.24
1417000000,  23.10
1418000000,  23.40
1419000000,  23.12
1420000000,  22.95
1421000000,  23.16
1422000000,  23.18
1423000000,  22.91
1424000000,  22.86
1425000000,  22.83
1426000000,  22.93
1427000000,  22.75
1428000000,  22.63
1429000000,  22.57
1430000000,  22.52
1431000000,  22.45
1432000000,  22.55
1433000000,  22.49
1434000000,  22.43
1435000000,  22.41
1436000000,  22.44
1437000000,  22.31
1438000000,  22.33
1439000000,  22.36
1440000000,  22.41
1441000000,  22.31
1442000000,  22.28
1443000000,  22.27
1444000000,  22.17
1445000000,  22.11
1446000000,  22.12
1447000000,  22.08
1448000000,  22.16
1449000000,  22.19
1450000000,  22.16
1451000000,  22.06
1452000000,  21.98
1453000000,  22.04
1454000000,  21.95
