#RxL_SN4004_calculated_noise_V_chan
# f (Hz),T_e_cal (K)
1216000000,  17.13
1217000000,  17.07
1218000000,  17.03
1219000000,  17.08
1220000000,  17.29
1221000000,  17.31
1222000000,  17.47
1223000000,  17.47
1224000000,  17.42
1225000000,  17.51
1226000000,  17.64
1227000000,  17.84
1228000000,  17.78
1229000000,  17.90
1230000000,  17.75
1231000000,  17.69
1232000000,  17.91
1233000000,  18.00
1234000000,  18.05
1235000000,  18.06
1236000000,  18.26
1237000000,  18.01
1238000000,  18.24
1239000000,  18.27
1240000000,  18.43
1241000000,  18.37
1242000000,  18.55
1243000000,  18.65
1244000000,  18.71
1245000000,  18.73
1246000000,  18.76
1247000000,  19.01
1248000000,  19.07
1249000000,  18.87
1250000000,  19.22
1251000000,  19.29
1252000000,  19.02
1253000000,  19.40
1254000000,  19.45
1255000000,  19.34
1256000000,  19.58
1257000000,  19.71
1258000000,  19.72
1259000000,  19.75
1260000000,  19.99
1261000000,  19.83
1262000000,  20.07
1263000000,  20.30
1264000000,  20.24
1265000000,  20.36
1266000000,  20.27
1267000000,  20.20
1268000000,  20.37
1269000000,  20.57
1270000000,  20.51
1271000000,  20.53
1272000000,  20.61
1273000000,  20.76
1274000000,  20.57
1275000000,  21.00
1276000000,  20.93
1277000000,  20.65
1278000000,  21.07
1279000000,  20.78
1280000000,  20.98
1281000000,  20.79
1282000000,  20.99
1283000000,  20.72
1284000000,  20.90
1285000000,  21.10
1286000000,  20.85
1287000000,  20.85
1288000000,  20.80
1289000000,  20.74
1290000000,  20.76
1291000000,  20.97
1292000000,  20.77
1293000000,  20.81
1294000000,  20.72
1295000000,  20.69
1296000000,  20.77
1297000000,  20.78
1298000000,  20.66
1299000000,  20.73
1300000000,  20.77
1301000000,  20.60
1302000000,  20.57
1303000000,  20.40
1304000000,  20.43
1305000000,  20.40
1306000000,  20.34
1307000000,  20.22
1308000000,  20.19
1309000000,  20.08
1310000000,  20.28
1311000000,  20.10
1312000000,  20.24
1313000000,  20.21
1314000000,  20.00
1315000000,  20.10
1316000000,  19.85
1317000000,  19.75
1318000000,  19.76
1319000000,  19.53
1320000000,  19.71
1321000000,  19.72
1322000000,  19.61
1323000000,  19.55
1324000000,  19.36
1325000000,  19.28
1326000000,  19.25
1327000000,  19.06
1328000000,  19.19
1329000000,  19.30
1330000000,  19.19
1331000000,  19.22
1332000000,  19.12
1333000000,  19.05
1334000000,  19.32
1335000000,  19.04
1336000000,  19.09
1337000000,  18.99
1338000000,  18.99
1339000000,  18.92
1340000000,  19.16
1341000000,  18.96
1342000000,  19.18
1343000000,  18.95
1344000000,  18.89
1345000000,  18.85
1346000000,  18.85
1347000000,  18.95
1348000000,  18.82
1349000000,  18.82
1350000000,  18.58
1351000000,  18.87
1352000000,  18.80
1353000000,  18.83
1354000000,  18.74
1355000000,  18.71
1356000000,  18.61
1357000000,  18.60
1358000000,  18.77
1359000000,  18.58
1360000000,  18.65
1361000000,  18.60
1362000000,  18.64
1363000000,  18.49
1364000000,  18.62
1365000000,  18.73
1366000000,  18.73
1367000000,  18.58
1368000000,  18.64
1369000000,  18.61
1370000000,  18.63
1371000000,  18.71
1372000000,  18.56
1373000000,  18.65
1374000000,  18.52
1375000000,  18.60
1376000000,  18.55
1377000000,  18.43
1378000000,  18.65
1379000000,  18.76
1380000000,  18.70
1381000000,  18.62
1382000000,  18.54
1383000000,  18.65
1384000000,  18.53
1385000000,  18.64
1386000000,  18.51
1387000000,  18.37
1388000000,  18.55
1389000000,  18.62
1390000000,  18.44
1391000000,  18.61
1392000000,  18.51
1393000000,  18.43
1394000000,  18.58
1395000000,  18.40
1396000000,  18.51
1397000000,  18.56
1398000000,  18.59
1399000000,  18.62
1400000000,  18.59
1401000000,  18.67
1402000000,  18.59
1403000000,  18.75
1404000000,  18.99
1405000000,  18.92
1406000000,  18.94
1407000000,  19.14
1408000000,  19.07
