#RxL_SN4001_calculated_noise_V_chan
# f (Hz),   T_e_cal (K) 
1215000000,  21.09
1216000000,  21.04
1217000000,  21.04
1218000000,  21.13
1219000000,  21.24
1220000000,  20.99
1221000000,  21.29
1222000000,  21.22
1223000000,  21.53
1224000000,  21.56
1225000000,  21.40
1226000000,  21.33
1227000000,  21.55
1228000000,  21.39
1229000000,  21.61
1230000000,  21.69
1231000000,  21.81
1232000000,  21.82
1233000000,  21.92
1234000000,  22.15
1235000000,  22.08
1236000000,  22.37
1237000000,  22.40
1238000000,  22.50
1239000000,  22.48
1240000000,  22.48
1241000000,  22.57
1242000000,  22.64
1243000000,  22.84
1244000000,  22.94
1245000000,  22.96
1246000000,  22.91
1247000000,  23.16
1248000000,  23.14
1249000000,  23.44
1250000000,  23.49
1251000000,  23.23
1252000000,  23.34
1253000000,  23.59
1254000000,  23.71
1255000000,  23.85
1256000000,  23.78
1257000000,  23.84
1258000000,  23.87
1259000000,  24.23
1260000000,  24.31
1261000000,  24.32
1262000000,  24.64
1263000000,  24.25
1264000000,  24.43
1265000000,  24.72
1266000000,  24.64
1267000000,  24.78
1268000000,  24.84
1269000000,  24.81
1270000000,  25.05
1271000000,  25.17
1272000000,  24.95
1273000000,  24.96
1274000000,  25.20
1275000000,  25.07
1276000000,  25.29
1277000000,  25.19
1278000000,  25.39
1279000000,  25.31
1280000000,  25.22
1281000000,  25.31
1282000000,  25.53
1283000000,  25.37
1284000000,  25.40
1285000000,  25.30
1286000000,  25.41
1287000000,  25.45
1288000000,  25.34
1289000000,  25.44
1290000000,  25.22
1291000000,  25.14
1292000000,  25.19
1293000000,  25.37
1294000000,  25.07
1295000000,  25.29
1296000000,  25.26
1297000000,  25.31
1298000000,  25.53
1299000000,  25.16
1300000000,  25.17
1301000000,  25.12
1302000000,  24.92
1303000000,  25.35
1304000000,  24.88
1305000000,  24.95
1306000000,  24.94
1307000000,  24.84
1308000000,  24.94
1309000000,  24.72
1310000000,  24.79
1311000000,  24.70
1312000000,  24.67
1313000000,  24.82
1314000000,  24.64
1315000000,  24.56
1316000000,  24.48
1317000000,  24.50
1318000000,  24.44
1319000000,  24.19
1320000000,  24.38
1321000000,  24.40
1322000000,  24.14
1323000000,  24.06
1324000000,  24.03
1325000000,  23.94
1326000000,  23.94
1327000000,  23.80
1328000000,  24.05
1329000000,  23.71
1330000000,  23.63
1331000000,  23.74
1332000000,  23.70
1333000000,  23.68
1334000000,  23.59
1335000000,  23.69
1336000000,  23.64
1337000000,  23.45
1338000000,  23.57
1339000000,  23.37
1340000000,  23.41
1341000000,  23.37
1342000000,  23.44
1343000000,  23.34
1344000000,  23.38
1345000000,  23.51
1346000000,  23.27
1347000000,  23.20
1348000000,  23.32
1349000000,  23.36
1350000000,  23.06
1351000000,  23.25
1352000000,  23.16
1353000000,  23.17
1354000000,  23.19
1355000000,  22.99
1356000000,  23.04
1357000000,  22.84
1358000000,  22.92
1359000000,  22.94
1360000000,  22.94
1361000000,  23.12
1362000000,  23.13
1363000000,  22.91
1364000000,  23.29
1365000000,  23.31
1366000000,  23.24
1367000000,  23.21
1368000000,  23.10
1369000000,  23.28
1370000000,  23.23
1371000000,  23.20
1372000000,  23.32
1373000000,  23.16
1374000000,  23.15
1375000000,  23.36
1376000000,  23.18
1377000000,  23.13
1378000000,  23.23
1379000000,  23.28
1380000000,  23.05
1381000000,  23.14
1382000000,  23.29
1383000000,  23.22
1384000000,  22.96
1385000000,  23.09
1386000000,  23.12
1387000000,  23.05
1388000000,  23.01
1389000000,  23.12
1390000000,  23.04
1391000000,  23.03
1392000000,  22.95
1393000000,  23.01
1394000000,  23.16
1395000000,  23.22
1396000000,  23.20
1397000000,  23.13
1398000000,  22.99
1399000000,  23.24
1400000000,  23.29
1401000000,  23.13
1402000000,  23.30
1403000000,  23.19
1404000000,  23.42
1405000000,  23.45
1406000000,  23.60
1407000000,  23.56
1408000000,  23.63
1409000000,  23.69
1410000000,  23.76
1411000000,  23.88
1412000000,  24.03
1413000000,  23.94
1414000000,  24.03
1415000000,  24.09
1416000000,  24.03
1417000000,  24.13
1418000000,  24.14
1419000000,  24.16
1420000000,  24.02
1421000000,  23.92
1422000000,  23.79
1423000000,  23.48
1424000000,  23.37
1425000000,  23.41
1426000000,  23.30
1427000000,  22.82
1428000000,  23.11
1429000000,  22.82
1430000000,  22.67
1431000000,  22.69
1432000000,  22.65
1433000000,  22.78
1434000000,  22.55
1435000000,  22.59
1436000000,  22.35
1437000000,  22.44
1438000000,  22.68
1439000000,  22.52
1440000000,  22.60
1441000000,  22.33
1442000000,  22.25
1443000000,  22.18
1444000000,  22.20
1445000000,  22.14
1446000000,  22.18
1447000000,  22.23
1448000000,  22.26
1449000000,  22.04
1450000000,  21.98
1451000000,  22.15
1452000000,  21.90
1453000000,  21.81
1454000000,  21.96
1455000000,  21.86
1456000000,  21.95
1457000000,  22.03
1458000000,  22.14
1459000000,  21.88
1460000000,  22.00
1461000000,  22.28
1462000000,  21.95
1463000000,  21.96
1464000000,  22.09
1465000000,  22.16
1466000000,  22.36
1467000000,  22.48
1468000000,  22.53
1469000000,  22.11
1470000000,  22.30
1471000000,  22.36
1472000000,  22.47
1473000000,  22.36
1474000000,  22.30
1475000000,  22.26
1476000000,  22.57
1477000000,  22.72
1478000000,  22.59
1479000000,  22.57
1480000000,  22.38
1481000000,  22.43
1482000000,  22.66
1483000000,  22.57
1484000000,  22.60
1485000000,  22.69
1486000000,  22.73
1487000000,  22.67
1488000000,  22.70
1489000000,  22.78
1490000000,  22.69
1491000000,  22.67
1492000000,  22.74
1493000000,  22.71
1494000000,  22.59
1495000000,  22.77
1496000000,  22.84
1497000000,  22.82
1498000000,  22.80
1499000000,  22.82
1500000000,  22.78
1501000000,  22.52
1502000000,  22.88
1503000000,  22.94
1504000000,  22.92
1505000000,  23.03
1506000000,  23.01
1507000000,  22.93
1508000000,  22.95
1509000000,  22.98
1510000000,  23.05
1511000000,  22.97
1512000000,  23.05
1513000000,  23.03
1514000000,  23.03
1515000000,  23.26
1516000000,  23.16
1517000000,  23.16
1518000000,  23.09
1519000000,  23.15
1520000000,  23.29
1521000000,  23.18
1522000000,  23.17
1523000000,  23.32
1524000000,  23.27
1525000000,  23.11
1526000000,  23.24
1527000000,  23.40
1528000000,  23.39
1529000000,  23.42
1530000000,  23.44
1531000000,  23.35
1532000000,  23.21
1533000000,  23.25
1534000000,  23.19
1535000000,  23.17
1536000000,  23.10
1537000000,  23.08
1538000000,  23.23
1539000000,  23.21
1540000000,  22.99
1541000000,  23.06
1542000000,  23.13
1543000000,  23.06
1544000000,  23.17
1545000000,  23.38
1546000000,  23.36
1547000000,  23.27
1548000000,  23.31
1549000000,  23.48
1550000000,  23.44
1551000000,  23.32
1552000000,  23.24
1553000000,  23.43
1554000000,  23.51
1555000000,  23.52
