#RxL_SN4001_calculated_noise_H_chan
# f (Hz),   T_e_cal (K)
1216000000,  20.38
1217000000,  20.06
1218000000,  20.06
1219000000,  20.00
1220000000,  20.15
1221000000,  20.27
1222000000,  20.13
1223000000,  20.21
1224000000,  20.24
1225000000,  19.91
1226000000,  20.09
1227000000,  20.21
1228000000,  20.28
1229000000,  20.24
1230000000,  20.33
1231000000,  20.33
1232000000,  20.45
1233000000,  20.28
1234000000,  20.42
1235000000,  20.56
1236000000,  20.48
1237000000,  20.60
1238000000,  20.40
1239000000,  20.48
1240000000,  20.72
1241000000,  20.68
1242000000,  20.70
1243000000,  20.85
1244000000,  20.76
1245000000,  20.81
1246000000,  21.02
1247000000,  21.22
1248000000,  21.17
1249000000,  21.21
1250000000,  21.12
1251000000,  21.28
1252000000,  21.40
1253000000,  21.38
1254000000,  21.57
1255000000,  21.32
1256000000,  21.70
1257000000,  21.57
1258000000,  21.78
1259000000,  21.77
1260000000,  21.97
1261000000,  21.78
1262000000,  22.04
1263000000,  22.27
1264000000,  22.33
1265000000,  22.47
1266000000,  22.39
1267000000,  22.31
1268000000,  22.38
1269000000,  22.76
1270000000,  22.78
1271000000,  22.76
1272000000,  22.85
1273000000,  22.99
1274000000,  23.04
1275000000,  23.28
1276000000,  23.28
1277000000,  23.51
1278000000,  23.42
1279000000,  23.42
1280000000,  23.53
1281000000,  23.63
1282000000,  23.77
1283000000,  23.68
1284000000,  23.67
1285000000,  23.76
1286000000,  23.77
1287000000,  24.09
1288000000,  24.03
1289000000,  24.22
1290000000,  23.88
1291000000,  24.14
1292000000,  24.27
1293000000,  24.33
1294000000,  24.25
1295000000,  24.37
1296000000,  24.38
1297000000,  24.41
1298000000,  24.43
1299000000,  24.40
1300000000,  24.46
1301000000,  24.62
1302000000,  24.77
1303000000,  24.63
1304000000,  24.65
1305000000,  24.59
1306000000,  24.53
1307000000,  24.36
1308000000,  24.70
1309000000,  24.34
1310000000,  24.67
1311000000,  24.35
1312000000,  24.60
1313000000,  24.47
1314000000,  24.46
1315000000,  24.45
1316000000,  24.44
1317000000,  24.27
1318000000,  24.44
1319000000,  24.38
1320000000,  24.28
1321000000,  24.37
1322000000,  24.05
1323000000,  24.20
1324000000,  24.15
1325000000,  24.25
1326000000,  24.02
1327000000,  24.01
1328000000,  23.99
1329000000,  24.14
1330000000,  24.21
1331000000,  23.92
1332000000,  23.80
1333000000,  23.98
1334000000,  23.83
1335000000,  23.81
1336000000,  23.64
1337000000,  23.73
1338000000,  23.68
1339000000,  23.64
1340000000,  23.77
1341000000,  23.82
1342000000,  23.63
1343000000,  23.63
1344000000,  23.38
1345000000,  23.60
1346000000,  23.52
1347000000,  23.39
1348000000,  23.51
1349000000,  23.69
1350000000,  23.32
1351000000,  23.21
1352000000,  23.39
1353000000,  23.38
1354000000,  23.29
1355000000,  23.38
1356000000,  23.32
1357000000,  23.18
1358000000,  22.95
1359000000,  23.06
1360000000,  23.07
1361000000,  23.02
1362000000,  22.96
1363000000,  23.04
1364000000,  22.85
1365000000,  22.81
1366000000,  22.93
1367000000,  22.77
1368000000,  22.94
1369000000,  22.85
1370000000,  22.83
1371000000,  22.94
1372000000,  22.89
1373000000,  22.83
1374000000,  22.80
1375000000,  22.76
1376000000,  22.92
1377000000,  22.78
1378000000,  22.90
1379000000,  22.76
1380000000,  22.59
1381000000,  22.83
1382000000,  22.57
1383000000,  22.78
1384000000,  22.81
1385000000,  22.90
1386000000,  22.87
1387000000,  22.87
1388000000,  22.83
1389000000,  22.74
1390000000,  22.75
1391000000,  22.91
1392000000,  22.75
1393000000,  22.79
1394000000,  22.66
1395000000,  22.82
1396000000,  22.85
1397000000,  22.86
1398000000,  22.84
1399000000,  22.86
1400000000,  22.93
1401000000,  22.86
1402000000,  22.84
1403000000,  22.74
1404000000,  22.83
1405000000,  22.86
1406000000,  23.01
1407000000,  22.82
1408000000,  22.79
1409000000,  22.98
1410000000,  23.05
1411000000,  23.09
1412000000,  23.04
1413000000,  23.19
1414000000,  23.18
1415000000,  23.46
1416000000,  23.39
1417000000,  23.37
1418000000,  23.28
1419000000,  23.32
1420000000,  23.47
1421000000,  23.30
1422000000,  23.16
1423000000,  23.16
1424000000,  23.05
1425000000,  23.02
1426000000,  23.06
1427000000,  22.82
1428000000,  22.78
1429000000,  22.89
1430000000,  22.77
1431000000,  22.72
1432000000,  22.55
1433000000,  22.64
1434000000,  22.79
1435000000,  22.62
1436000000,  22.49
1437000000,  22.38
1438000000,  22.53
1439000000,  22.56
1440000000,  22.45
1441000000,  22.27
1442000000,  22.32
1443000000,  22.16
1444000000,  22.29
1445000000,  22.07
1446000000,  21.92
1447000000,  22.15
1448000000,  21.84
1449000000,  21.72
1450000000,  21.82
1451000000,  21.81
1452000000,  21.68
1453000000,  21.77
1454000000,  21.70
1455000000,  21.84
1456000000,  21.81
1457000000,  21.83
1458000000,  21.61
1459000000,  21.59
1460000000,  21.86
1461000000,  21.70
1462000000,  21.61
1463000000,  21.70
1464000000,  21.80
1465000000,  21.75
1466000000,  21.90
1467000000,  21.87
1468000000,  21.90
1469000000,  21.94
1470000000,  21.94
