% f (Hz),   G_rec (dB), T_e_rec (K) 
1111000000,  54.70,   8.31
1112000000,  54.71,   8.26
1113000000,  54.71,   8.11
1114000000,  54.71,   8.22
1115000000,  54.72,   8.19
1116000000,  54.74,   8.28
1117000000,  54.75,   8.28
1118000000,  54.75,   8.28
1119000000,  54.75,   8.19
1120000000,  54.77,   8.26
1121000000,  54.77,   8.23
1122000000,  54.78,   8.18
1123000000,  54.79,   8.28
1124000000,  54.80,   8.25
1125000000,  54.82,   8.21
1126000000,  54.83,   8.31
1127000000,  54.84,   8.34
1128000000,  54.85,   8.22
1129000000,  54.86,   8.30
1130000000,  54.86,   8.38
1131000000,  54.88,   8.27
1132000000,  54.89,   8.37
1133000000,  54.90,   8.39
1134000000,  54.91,   8.42
1135000000,  54.92,   8.45
1136000000,  54.92,   8.23
1137000000,  54.93,   8.35
1138000000,  54.94,   8.35
1139000000,  54.93,   8.40
1140000000,  54.94,   8.35
1141000000,  54.95,   8.25
1142000000,  54.95,   8.30
1143000000,  54.96,   8.36
1144000000,  54.96,   8.44
1145000000,  54.96,   8.20
1146000000,  54.96,   8.19
1147000000,  54.96,   8.17
1148000000,  54.96,   8.20
1149000000,  54.96,   8.26
1150000000,  54.96,   8.28
1151000000,  54.96,   8.22
1152000000,  54.95,   8.21
1153000000,  54.95,   8.29
1154000000,  54.97,   8.35
1155000000,  54.95,   8.40
1156000000,  54.95,   8.30
1157000000,  54.95,   8.12
1158000000,  54.95,   8.18
1159000000,  54.94,   8.22
1160000000,  54.94,   8.10
1161000000,  54.93,   8.19
1162000000,  54.93,   8.27
1163000000,  54.93,   8.32
1164000000,  54.91,   8.27
1165000000,  54.91,   8.11
1166000000,  54.88,   8.24
1167000000,  54.88,   8.18
1168000000,  54.87,   8.33
1169000000,  54.85,   8.26
1170000000,  54.84,   8.23
1171000000,  54.84,   8.20
1172000000,  54.83,   8.14
1173000000,  54.81,   8.27
1174000000,  54.80,   8.25
1175000000,  54.78,   8.19
1176000000,  54.78,   8.12
1177000000,  54.76,   8.37
1178000000,  54.75,   8.30
1179000000,  54.75,   8.26
1180000000,  54.73,   8.38
1181000000,  54.72,   8.43
1182000000,  54.70,   8.27
1183000000,  54.70,   8.35
1184000000,  54.68,   8.41
1185000000,  54.67,   8.47
1186000000,  54.66,   8.37
1187000000,  54.63,   8.36
1188000000,  54.62,   8.38
1189000000,  54.62,   8.45
1190000000,  54.61,   8.37
1191000000,  54.60,   8.42
1192000000,  54.59,   8.54
1193000000,  54.57,   8.53
1194000000,  54.57,   8.62
1195000000,  54.56,   8.45
1196000000,  54.56,   8.52
1197000000,  54.54,   8.60
1198000000,  54.54,   8.48
1199000000,  54.54,   8.73
1200000000,  54.52,   8.67
1201000000,  54.52,   8.56
1202000000,  54.52,   8.61
1203000000,  54.52,   8.59
1204000000,  54.52,   8.71
1205000000,  54.52,   8.60
1206000000,  54.52,   8.69
1207000000,  54.51,   8.61
1208000000,  54.50,   8.74
1209000000,  54.51,   8.70
1210000000,  54.51,   8.63
1211000000,  54.51,   8.69
1212000000,  54.52,   8.69
1213000000,  54.51,   8.75
1214000000,  54.51,   8.58
1215000000,  54.51,   8.82
1216000000,  54.51,   8.66
1217000000,  54.52,   8.69
1218000000,  54.52,   8.87
1219000000,  54.53,   8.64
1220000000,  54.55,   8.79
1221000000,  54.55,   8.74
1222000000,  54.56,   8.70
1223000000,  54.56,   8.60
1224000000,  54.57,   8.80
1225000000,  54.58,   8.72
1226000000,  54.60,   8.69
1227000000,  54.60,   8.68
1228000000,  54.61,   8.84
1229000000,  54.62,   8.86
1230000000,  54.64,   8.82
1231000000,  54.65,   8.86
1232000000,  54.65,   8.93
1233000000,  54.67,   8.75
1234000000,  54.68,   8.86
1235000000,  54.69,   8.88
1236000000,  54.71,   8.78
1237000000,  54.72,   8.75
1238000000,  54.73,   8.93
1239000000,  54.75,   9.05
1240000000,  54.77,   8.89
1241000000,  54.78,   8.95
1242000000,  54.80,   9.15
1243000000,  54.82,   8.92
1244000000,  54.83,   8.91
1245000000,  54.84,   8.96
1246000000,  54.87,   8.80
1247000000,  54.88,   8.85
1248000000,  54.90,   8.78
1249000000,  54.93,   8.77
1250000000,  54.93,   8.95
1251000000,  54.95,   8.72
1252000000,  54.96,   8.82
1253000000,  54.98,   8.72
1254000000,  55.00,   8.77
1255000000,  55.02,   8.86
1256000000,  55.04,   8.83
1257000000,  55.04,   8.66
1258000000,  55.06,   8.80
1259000000,  55.07,   8.56
1260000000,  55.09,   8.78
1261000000,  55.11,   8.78
1262000000,  55.12,   8.76
1263000000,  55.13,   8.51
1264000000,  55.14,   8.55
1265000000,  55.17,   8.70
1266000000,  55.18,   8.52
1267000000,  55.19,   8.54
1268000000,  55.21,   8.66
1269000000,  55.22,   8.68
1270000000,  55.22,   8.59
1271000000,  55.24,   8.44
1272000000,  55.25,   8.47
1273000000,  55.26,   8.30
1274000000,  55.28,   8.54
1275000000,  55.29,   8.59
1276000000,  55.29,   8.44
1277000000,  55.29,   8.43
1278000000,  55.31,   8.40
1279000000,  55.31,   8.32
1280000000,  55.31,   8.20
1281000000,  55.32,   8.27
1282000000,  55.33,   8.30
1283000000,  55.32,   8.18
1284000000,  55.33,   8.13
1285000000,  55.33,   8.09
1286000000,  55.33,   8.32
1287000000,  55.34,   8.09
1288000000,  55.34,   8.04
1289000000,  55.34,   8.19
1290000000,  55.33,   7.99
1291000000,  55.34,   8.05
1292000000,  55.33,   7.96
1293000000,  55.32,   7.96
1294000000,  55.33,   7.87
1295000000,  55.33,   7.89
1296000000,  55.32,   7.84
1297000000,  55.32,   7.80
1298000000,  55.32,   7.71
1299000000,  55.31,   7.69
1300000000,  55.32,   7.80
1301000000,  55.31,   7.71
1302000000,  55.30,   7.72
1303000000,  55.30,   7.62
1304000000,  55.29,   7.76
1305000000,  55.29,   7.66
1306000000,  55.27,   7.67
1307000000,  55.27,   7.68
1308000000,  55.26,   7.67
1309000000,  55.24,   7.76
1310000000,  55.25,   7.74
1311000000,  55.22,   7.67
1312000000,  55.23,   7.59
1313000000,  55.21,   7.66
1314000000,  55.20,   7.55
1315000000,  55.19,   7.47
1316000000,  55.18,   7.60
1317000000,  55.17,   7.49
1318000000,  55.16,   7.64
1319000000,  55.16,   7.61
1320000000,  55.14,   7.51
1321000000,  55.13,   7.50
1322000000,  55.11,   7.50
1323000000,  55.11,   7.51
1324000000,  55.10,   7.64
1325000000,  55.08,   7.60
1326000000,  55.08,   7.64
1327000000,  55.07,   7.50
1328000000,  55.06,   7.54
1329000000,  55.05,   7.61
1330000000,  55.03,   7.52
1331000000,  55.03,   7.52
1332000000,  55.02,   7.60
1333000000,  55.01,   7.57
1334000000,  55.00,   7.64
1335000000,  54.99,   7.67
1336000000,  54.98,   7.44
1337000000,  54.97,   7.62
1338000000,  54.96,   7.61
1339000000,  54.96,   7.63
1340000000,  54.95,   7.81
1341000000,  54.95,   7.83
1342000000,  54.94,   7.71
1343000000,  54.93,   7.68
1344000000,  54.93,   7.68
1345000000,  54.93,   7.81
1346000000,  54.92,   7.61
1347000000,  54.92,   7.88
1348000000,  54.90,   8.07
1349000000,  54.91,   7.97
1350000000,  54.90,   7.95
1351000000,  54.90,   8.05
1352000000,  54.89,   8.20
1353000000,  54.88,   8.04
1354000000,  54.87,   8.18
1355000000,  54.86,   8.05
1356000000,  54.85,   8.17
1357000000,  54.85,   8.21
1358000000,  54.83,   8.18
1359000000,  54.82,   8.35
1360000000,  54.82,   8.37
1361000000,  54.82,   8.41
1362000000,  54.81,   8.46
1363000000,  54.81,   8.37
1364000000,  54.80,   8.23
1365000000,  54.81,   8.45
1366000000,  54.81,   8.47
1367000000,  54.81,   8.33
1368000000,  54.81,   8.46
1369000000,  54.80,   8.53
1370000000,  54.81,   8.46
1371000000,  54.81,   8.44
1372000000,  54.81,   8.40
1373000000,  54.80,   8.53
1374000000,  54.81,   8.33
1375000000,  54.81,   8.38
1376000000,  54.80,   8.44
1377000000,  54.81,   8.44
1378000000,  54.81,   8.31
1379000000,  54.80,   8.37
1380000000,  54.80,   8.39
1381000000,  54.81,   8.32
1382000000,  54.80,   8.43
1383000000,  54.80,   8.37
1384000000,  54.80,   8.46
1385000000,  54.81,   8.42
1386000000,  54.81,   8.43
1387000000,  54.79,   8.45
1388000000,  54.81,   8.48
1389000000,  54.81,   8.54
1390000000,  54.79,   8.55
1391000000,  54.80,   8.63
1392000000,  54.79,   8.62
1393000000,  54.78,   8.50
1394000000,  54.78,   8.72
1395000000,  54.78,   8.82
1396000000,  54.77,   8.72
1397000000,  54.76,   8.89
1398000000,  54.75,   8.93
1399000000,  54.75,   9.01
1400000000,  54.74,   9.13
1401000000,  54.74,   9.27
1402000000,  54.73,   9.35
1403000000,  54.71,   9.47
1404000000,  54.71,   9.72
1405000000,  54.70,   9.88
1406000000,  54.67,  10.04
1407000000,  54.67,  10.20
1408000000,  54.66,  10.69
1409000000,  54.64,  10.71
1410000000,  54.63,  11.01
1411000000,  54.62,  11.39
1412000000,  54.61,  11.47
1413000000,  54.59,  11.65
1414000000,  54.59,  11.69
1415000000,  54.59,  12.00
1416000000,  54.58,  12.05
1417000000,  54.57,  11.94
1418000000,  54.57,  11.86
1419000000,  54.57,  11.82
1420000000,  54.57,  11.56
1421000000,  54.57,  11.46
1422000000,  54.56,  11.39
1423000000,  54.57,  11.08
1424000000,  54.57,  10.79
1425000000,  54.57,  10.68
1426000000,  54.58,  10.55
1427000000,  54.57,  10.45
1428000000,  54.56,  10.28
1429000000,  54.56,  10.22
1430000000,  54.56,  10.11
1431000000,  54.56,   9.92
1432000000,  54.55,   9.83
1433000000,  54.54,   9.64
1434000000,  54.54,   9.64
1435000000,  54.52,   9.65
1436000000,  54.52,   9.50
1437000000,  54.51,   9.28
1438000000,  54.51,   9.48
1439000000,  54.49,   9.48
1440000000,  54.48,   9.41
1441000000,  54.48,   9.45
1442000000,  54.47,   9.36
1443000000,  54.45,   9.50
1444000000,  54.45,   9.47
1445000000,  54.44,   9.49
1446000000,  54.43,   9.50
1447000000,  54.41,   9.64
1448000000,  54.41,   9.59
1449000000,  54.41,   9.70
1450000000,  54.39,   9.70
1451000000,  54.39,   9.70
1452000000,  54.38,   9.62
1453000000,  54.37,   9.84
1454000000,  54.37,   9.87
1455000000,  54.37,   9.84
1456000000,  54.37,   9.79
1457000000,  54.37,   9.72
1458000000,  54.36,   9.71
1459000000,  54.36,   9.77
1460000000,  54.36,   9.70
1461000000,  54.36,   9.63
1462000000,  54.36,   9.63
1463000000,  54.36,   9.65
1464000000,  54.35,   9.50
1465000000,  54.35,   9.53
1466000000,  54.34,   9.53
1467000000,  54.34,   9.52
1468000000,  54.35,   9.57
1469000000,  54.34,   9.53
1470000000,  54.33,   9.45
1471000000,  54.33,   9.54
1472000000,  54.34,   9.54
1473000000,  54.34,   9.46
1474000000,  54.33,   9.47
1475000000,  54.33,   9.41
1476000000,  54.32,   9.45
1477000000,  54.33,   9.42
1478000000,  54.32,   9.43
1479000000,  54.33,   9.32
1480000000,  54.33,   9.37
1481000000,  54.34,   9.41
1482000000,  54.34,   9.34
1483000000,  54.35,   9.25
1484000000,  54.33,   9.33
1485000000,  54.34,   9.26
1486000000,  54.35,   9.22
