% f (Hz),G_rec (dB),T_e_rec (K)
 900000000,  55.39,   9.94
 901000000,  55.37,   9.87
 902000000,  55.35,   9.77
 903000000,  55.34,   9.67
 904000000,  55.30,   9.57
 905000000,  55.28,   9.48
 906000000,  55.26,   9.54
 907000000,  55.24,   9.52
 908000000,  55.22,   9.34
 909000000,  55.21,   9.32
 910000000,  55.19,   9.38
 911000000,  55.17,   9.37
 912000000,  55.16,   9.38
 913000000,  55.14,   9.33
 914000000,  55.13,   9.28
 915000000,  55.11,   9.27
 916000000,  55.10,   9.26
 917000000,  55.09,   9.43
 918000000,  55.08,   9.39
 919000000,  55.08,   9.16
 920000000,  55.07,   9.10
 921000000,  55.06,   9.17
 922000000,  55.05,   9.15
 923000000,  55.04,   9.05
 924000000,  55.03,   9.09
 925000000,  55.04,   9.05
 926000000,  55.03,   9.04
 927000000,  55.03,   9.02
 928000000,  55.03,   8.99
 929000000,  55.03,   9.05
 930000000,  55.03,   9.11
 931000000,  55.03,   9.09
 932000000,  55.04,   9.07
 933000000,  55.03,   8.94
 934000000,  55.03,   8.88
 935000000,  55.04,   8.99
 936000000,  55.04,   9.07
 937000000,  55.04,   9.03
 938000000,  55.05,   8.93
 939000000,  55.05,   8.98
 940000000,  55.05,   8.98
 941000000,  55.05,   8.93
 942000000,  55.07,   8.91
 943000000,  55.07,   8.92
 944000000,  55.07,   8.83
 945000000,  55.08,   8.82
 946000000,  55.08,   8.80
 947000000,  55.08,   8.87
 948000000,  55.08,   8.78
 949000000,  55.09,   8.78
 950000000,  55.09,   8.88
 951000000,  55.09,   8.86
 952000000,  55.09,   8.86
 953000000,  55.08,   8.76
 954000000,  55.07,   8.81
 955000000,  55.06,   8.83
 956000000,  55.07,   8.82
 957000000,  55.06,   8.85
 958000000,  55.06,   8.86
 959000000,  55.05,   8.84
 960000000,  55.04,   8.80
 961000000,  55.03,   8.72
 962000000,  55.02,   8.78
 963000000,  55.01,   8.80
 964000000,  55.00,   8.75
 965000000,  54.98,   8.72
 966000000,  54.97,   8.72
 967000000,  54.95,   8.79
 968000000,  54.94,   8.73
 969000000,  54.93,   8.62
 970000000,  54.92,   8.62
 971000000,  54.90,   8.64
 972000000,  54.89,   8.78
 973000000,  54.87,   8.68
 974000000,  54.84,   8.64
 975000000,  54.84,   8.60
 976000000,  54.82,   8.54
 977000000,  54.80,   8.65
 978000000,  54.79,   8.78
 979000000,  54.77,   8.66
 980000000,  54.75,   8.54
 981000000,  54.73,   8.61
 982000000,  54.71,   8.62
 983000000,  54.70,   8.66
 984000000,  54.68,   8.70
 985000000,  54.67,   8.70
 986000000,  54.65,   8.68
 987000000,  54.64,   8.65
 988000000,  54.63,   8.67
 989000000,  54.61,   8.72
 990000000,  54.59,   8.81
 991000000,  54.58,   8.84
 992000000,  54.57,   8.74
 993000000,  54.55,   8.71
 994000000,  54.54,   8.72
 995000000,  54.53,   8.76
 996000000,  54.52,   8.84
 997000000,  54.51,   8.77
 998000000,  54.50,   8.77
 999000000,  54.49,   8.90
1000000000,  54.48,   8.94
1001000000,  54.48,   8.94
1002000000,  54.47,   8.88
1003000000,  54.47,   8.84
1004000000,  54.46,   8.90
1005000000,  54.45,   8.96
1006000000,  54.45,   9.10
1007000000,  54.44,   9.05
1008000000,  54.44,   9.12
1009000000,  54.43,   9.14
1010000000,  54.41,   8.99
1011000000,  54.43,   9.03
1012000000,  54.42,   9.06
1013000000,  54.42,   9.15
1014000000,  54.43,   9.16
1015000000,  54.42,   9.08
1016000000,  54.42,   9.07
1017000000,  54.43,   9.20
1018000000,  54.45,   9.16
1019000000,  54.44,   9.16
1020000000,  54.45,   9.25
1021000000,  54.46,   9.38
1022000000,  54.47,   9.32
1023000000,  54.48,   9.31
1024000000,  54.48,   9.35
1025000000,  54.49,   9.33
1026000000,  54.50,   9.27
1027000000,  54.50,   9.24
1028000000,  54.50,   9.29
1029000000,  54.52,   9.35
1030000000,  54.53,   9.35
1031000000,  54.54,   9.32
1032000000,  54.55,   9.30
1033000000,  54.55,   9.31
1034000000,  54.55,   9.36
1035000000,  54.56,   9.32
1036000000,  54.56,   9.30
1037000000,  54.57,   9.38
1038000000,  54.58,   9.48
1039000000,  54.58,   9.46
1040000000,  54.59,   9.34
1041000000,  54.61,   9.25
1042000000,  54.61,   9.32
1043000000,  54.61,   9.31
1044000000,  54.62,   9.36
1045000000,  54.62,   9.24
1046000000,  54.63,   9.28
1047000000,  54.63,   9.33
1048000000,  54.63,   9.44
1049000000,  54.63,   9.40
1050000000,  54.63,   9.36
1051000000,  54.64,   9.28
1052000000,  54.64,   9.15
1053000000,  54.65,   9.37
1054000000,  54.64,   9.19
1055000000,  54.65,   9.24
1056000000,  54.65,   9.41
1057000000,  54.66,   9.22
1058000000,  54.65,   9.15
1059000000,  54.64,   9.24
1060000000,  54.63,   9.30
1061000000,  54.63,   9.40
1062000000,  54.63,   9.38
1063000000,  54.62,   9.37
1064000000,  54.61,   9.20
1065000000,  54.61,   9.19
1066000000,  54.59,   9.27
1067000000,  54.60,   9.34
1068000000,  54.59,   9.18
1069000000,  54.58,   9.22
1070000000,  54.58,   9.19
1071000000,  54.57,   9.25
1072000000,  54.56,   9.36
1073000000,  54.54,   9.13
