% f (Hz),G_rec (dB),T_e_rec (K)
 900000000,  54.98,   8.74
 901000000,  54.96,   8.74
 902000000,  54.94,   8.65
 903000000,  54.92,   8.61
 904000000,  54.89,   8.85
 905000000,  54.87,   8.62
 906000000,  54.86,   8.57
 907000000,  54.83,   8.76
 908000000,  54.81,   8.61
 909000000,  54.80,   8.62
 910000000,  54.77,   8.71
 911000000,  54.75,   8.71
 912000000,  54.74,   8.67
 913000000,  54.71,   8.65
 914000000,  54.70,   8.59
 915000000,  54.68,   8.75
 916000000,  54.67,   8.51
 917000000,  54.66,   8.47
 918000000,  54.65,   8.51
 919000000,  54.65,   8.62
 920000000,  54.64,   8.45
 921000000,  54.63,   8.51
 922000000,  54.64,   8.49
 923000000,  54.63,   8.65
 924000000,  54.62,   8.58
 925000000,  54.63,   8.67
 926000000,  54.61,   8.47
 927000000,  54.62,   8.51
 928000000,  54.61,   8.43
 929000000,  54.62,   8.38
 930000000,  54.61,   8.55
 931000000,  54.61,   8.50
 932000000,  54.62,   8.56
 933000000,  54.61,   8.60
 934000000,  54.61,   8.42
 935000000,  54.62,   8.52
 936000000,  54.62,   8.43
 937000000,  54.62,   8.39
 938000000,  54.62,   8.37
 939000000,  54.61,   8.28
 940000000,  54.61,   8.28
 941000000,  54.61,   8.14
 942000000,  54.62,   8.24
 943000000,  54.61,   8.18
 944000000,  54.61,   8.15
 945000000,  54.61,   8.12
 946000000,  54.60,   8.32
 947000000,  54.59,   8.13
 948000000,  54.59,   8.16
 949000000,  54.58,   8.11
 950000000,  54.58,   8.06
 951000000,  54.57,   8.08
 952000000,  54.57,   8.26
 953000000,  54.56,   8.38
 954000000,  54.55,   8.25
 955000000,  54.54,   8.13
 956000000,  54.54,   8.06
 957000000,  54.53,   8.17
 958000000,  54.52,   8.00
 959000000,  54.51,   8.11
 960000000,  54.49,   8.06
 961000000,  54.48,   8.13
 962000000,  54.47,   8.11
 963000000,  54.46,   8.13
 964000000,  54.45,   8.14
 965000000,  54.43,   8.28
 966000000,  54.42,   8.01
 967000000,  54.40,   7.93
 968000000,  54.39,   8.15
 969000000,  54.37,   8.18
 970000000,  54.37,   8.02
 971000000,  54.35,   8.19
 972000000,  54.33,   8.15
 973000000,  54.33,   8.17
 974000000,  54.29,   8.14
 975000000,  54.29,   8.23
 976000000,  54.28,   8.32
 977000000,  54.26,   8.15
 978000000,  54.26,   8.34
 979000000,  54.24,   8.08
 980000000,  54.23,   8.35
 981000000,  54.22,   8.53
 982000000,  54.20,   8.40
 983000000,  54.19,   8.25
 984000000,  54.18,   8.40
 985000000,  54.18,   8.50
 986000000,  54.17,   8.39
 987000000,  54.16,   8.54
 988000000,  54.15,   8.33
 989000000,  54.15,   8.51
 990000000,  54.14,   8.51
 991000000,  54.13,   8.56
 992000000,  54.12,   8.58
 993000000,  54.12,   8.64
 994000000,  54.11,   8.55
 995000000,  54.10,   8.61
 996000000,  54.10,   8.63
 997000000,  54.10,   8.82
 998000000,  54.09,   8.72
 999000000,  54.10,   8.74
