% f (Hz),G_rec (dB),T_e_rec (K)
 900000000,  55.41,   9.26
 901000000,  55.40,   9.28
 902000000,  55.38,   9.23
 903000000,  55.37,   9.14
 904000000,  55.33,   9.03
 905000000,  55.31,   8.92
 906000000,  55.29,   8.92
 907000000,  55.27,   8.97
 908000000,  55.25,   9.02
 909000000,  55.24,   8.96
 910000000,  55.21,   8.91
 911000000,  55.18,   8.89
 912000000,  55.17,   8.82
 913000000,  55.15,   8.83
 914000000,  55.13,   8.87
 915000000,  55.11,   8.76
 916000000,  55.10,   8.59
 917000000,  55.09,   8.56
 918000000,  55.07,   8.65
 919000000,  55.06,   8.71
 920000000,  55.05,   8.74
 921000000,  55.04,   8.67
 922000000,  55.03,   8.60
 923000000,  55.02,   8.62
 924000000,  55.00,   8.56
 925000000,  55.01,   8.55
 926000000,  54.98,   8.50
 927000000,  54.98,   8.43
 928000000,  54.97,   8.47
 929000000,  54.97,   8.45
 930000000,  54.96,   8.47
 931000000,  54.95,   8.56
 932000000,  54.95,   8.55
 933000000,  54.93,   8.53
 934000000,  54.93,   8.57
 935000000,  54.92,   8.48
 936000000,  54.91,   8.41
 937000000,  54.90,   8.55
 938000000,  54.89,   8.45
 939000000,  54.88,   8.42
 940000000,  54.87,   8.40
 941000000,  54.85,   8.39
 942000000,  54.86,   8.45
 943000000,  54.84,   8.34
 944000000,  54.82,   8.34
 945000000,  54.82,   8.41
 946000000,  54.80,   8.48
 947000000,  54.79,   8.43
 948000000,  54.77,   8.36
 949000000,  54.76,   8.35
 950000000,  54.75,   8.33
 951000000,  54.73,   8.34
 952000000,  54.73,   8.33
 953000000,  54.70,   8.38
 954000000,  54.69,   8.35
 955000000,  54.67,   8.35
 956000000,  54.67,   8.39
 957000000,  54.64,   8.36
 958000000,  54.63,   8.36
 959000000,  54.61,   8.37
 960000000,  54.59,   8.42
 961000000,  54.57,   8.46
 962000000,  54.56,   8.41
 963000000,  54.54,   8.43
 964000000,  54.53,   8.42
 965000000,  54.51,   8.43
 966000000,  54.49,   8.41
 967000000,  54.46,   8.37
 968000000,  54.45,   8.35
 969000000,  54.42,   8.34
 970000000,  54.41,   8.29
 971000000,  54.39,   8.30
 972000000,  54.37,   8.30
 973000000,  54.36,   8.40
 974000000,  54.32,   8.43
 975000000,  54.32,   8.33
 976000000,  54.30,   8.28
 977000000,  54.27,   8.30
 978000000,  54.26,   8.30
 979000000,  54.24,   8.35
 980000000,  54.23,   8.30
 981000000,  54.21,   8.30
 982000000,  54.19,   8.25
 983000000,  54.18,   8.25
 984000000,  54.16,   8.41
 985000000,  54.15,   8.49
 986000000,  54.14,   8.38
 987000000,  54.12,   8.31
 988000000,  54.11,   8.38
 989000000,  54.10,   8.48
 990000000,  54.09,   8.47
 991000000,  54.08,   8.45
 992000000,  54.07,   8.46
 993000000,  54.06,   8.42
 994000000,  54.05,   8.46
 995000000,  54.04,   8.46
 996000000,  54.03,   8.51
 997000000,  54.03,   8.52
 998000000,  54.02,   8.57
 999000000,  54.02,   8.49
1000000000,  54.01,   8.55
1001000000,  54.02,   8.59
1002000000,  54.02,   8.55
1003000000,  54.02,   8.53
1004000000,  54.01,   8.53
1005000000,  54.01,   8.53
1006000000,  54.01,   8.53
1007000000,  54.00,   8.49
1008000000,  54.01,   8.56
1009000000,  54.01,   8.53
1010000000,  53.99,   8.67
1011000000,  54.01,   8.70
1012000000,  54.00,   8.63
1013000000,  54.01,   8.68
1014000000,  54.01,   8.81
1015000000,  54.01,   8.65
1016000000,  54.01,   8.61
1017000000,  54.01,   8.73
1018000000,  54.02,   8.69
1019000000,  54.01,   8.78
1020000000,  54.01,   8.75
1021000000,  54.01,   8.74
1022000000,  54.02,   8.70
1023000000,  54.02,   8.67
1024000000,  54.03,   8.79
1025000000,  54.03,   8.85
1026000000,  54.04,   8.90
1027000000,  54.05,   8.79
1028000000,  54.05,   8.83
1029000000,  54.06,   8.76
1030000000,  54.06,   8.68
1031000000,  54.07,   8.77
1032000000,  54.08,   8.86
1033000000,  54.08,   8.92
1034000000,  54.08,   8.80
1035000000,  54.09,   8.82
1036000000,  54.09,   8.80
1037000000,  54.09,   8.77
1038000000,  54.11,   8.79
1039000000,  54.10,   8.80
1040000000,  54.11,   8.79
1041000000,  54.12,   8.88
1042000000,  54.11,   8.93
1043000000,  54.12,   8.86
1044000000,  54.12,   8.87
1045000000,  54.12,   8.95
1046000000,  54.12,   8.85
1047000000,  54.11,   8.92
1048000000,  54.11,   8.96
1049000000,  54.12,   8.83
1050000000,  54.10,   8.86
1051000000,  54.11,   8.88
1052000000,  54.10,   8.91
1053000000,  54.11,   8.82
1054000000,  54.10,   8.79
1055000000,  54.11,   8.88
1056000000,  54.09,   8.81
1057000000,  54.10,   8.93
1058000000,  54.10,   8.97
1059000000,  54.08,   8.90
1060000000,  54.07,   8.98
1061000000,  54.07,   8.94
1062000000,  54.07,   9.00
1063000000,  54.06,   9.01
1064000000,  54.05,   8.97
1065000000,  54.05,   8.93
1066000000,  54.04,   8.88
1067000000,  54.04,   8.88
1068000000,  54.04,   8.93
1069000000,  54.03,   8.93
1070000000,  54.03,   8.93
1071000000,  54.01,   8.97
1072000000,  54.00,   8.93
1073000000,  53.99,   8.89
1074000000,  53.98,   8.86
1075000000,  53.99,   8.90
1076000000,  53.97,   8.98
1077000000,  53.96,   8.93
1078000000,  53.96,   8.88
1079000000,  53.96,   8.83
1080000000,  53.94,   8.85
1081000000,  53.94,   8.95
1082000000,  53.93,   8.91
1083000000,  53.93,   8.97
1084000000,  53.92,   8.83
1085000000,  53.91,   8.94
