% f (Hz),	G_rec (dB),	T_e_rec (K)	
1595596672.000000,	56.145011,	7.794340
1596595328.000000,	56.140480,	7.614941
1597593984.000000,	56.112560,	7.873557
1598592768.000000,	56.117881,	7.595360
1599591424.000000,	56.100039,	7.677782
1600590080.000000,	56.091889,	7.699267
1601588864.000000,	56.108039,	7.523340
1602587520.000000,	56.087646,	7.546386
1603586304.000000,	56.079504,	7.646063
1604584960.000000,	56.088086,	7.601815
1605583616.000000,	56.080654,	7.575463
1606582400.000000,	56.080121,	7.527633
1607581056.000000,	56.085095,	7.471589
1608579712.000000,	56.058953,	7.774425
1609578496.000000,	56.071299,	7.488973
1610577152.000000,	56.064834,	7.508458
1611575936.000000,	56.064674,	7.582759
1612574592.000000,	56.053778,	7.552140
1613573248.000000,	56.058564,	7.594728
1614572032.000000,	56.045694,	7.631000
1615570688.000000,	56.047263,	7.494151
1616569344.000000,	56.036373,	7.577307
1617568128.000000,	56.015429,	7.603289
1618566784.000000,	56.009535,	7.720701
1619565440.000000,	56.001789,	7.577524
1620564224.000000,	55.996791,	7.677350
1621562880.000000,	55.995423,	7.569808
1622561664.000000,	56.002823,	7.545146
1623560320.000000,	55.985550,	7.647918
1624558976.000000,	55.979507,	7.706525
1625557760.000000,	55.979381,	7.667744
1626556416.000000,	55.976082,	7.682613
1627555072.000000,	55.986067,	7.601065
1628553856.000000,	55.973212,	7.614474
1629552512.000000,	55.974267,	7.597244
1630551296.000000,	55.974692,	7.640460
1631549952.000000,	55.971983,	7.531386
1632548608.000000,	55.961232,	7.656317
1633547392.000000,	55.973783,	7.530253
1634546048.000000,	55.959102,	7.623215
1635544704.000000,	55.966143,	7.493073
1636543488.000000,	55.957235,	7.691718
1637542144.000000,	55.953912,	7.547230
1638540800.000000,	55.968737,	7.499890
1639539584.000000,	55.953039,	7.457344
1640538240.000000,	55.953890,	7.436583
1641537024.000000,	55.959144,	7.538713
1642535680.000000,	55.944965,	7.674006
1643534336.000000,	55.930428,	7.596354
1644533120.000000,	55.933912,	7.575076
1645531776.000000,	55.909098,	7.642082
1646530432.000000,	55.932885,	7.570282
1647529216.000000,	55.919046,	7.635170
1648527872.000000,	55.908349,	7.552319
1649526528.000000,	55.901639,	7.687380
1650525312.000000,	55.887653,	7.636467
1651523968.000000,	55.884849,	7.645196
1652522752.000000,	55.884514,	7.543619
1653521408.000000,	55.879957,	7.572723
1654520064.000000,	55.862929,	7.636417
1655518848.000000,	55.832202,	7.821853
1656517504.000000,	55.831030,	7.972973
1657516160.000000,	55.806658,	7.902151
1658514944.000000,	55.793904,	8.059907
1659513600.000000,	55.768225,	8.085536
1660512384.000000,	55.762100,	8.027765
1661511040.000000,	55.750283,	8.065849
1662509696.000000,	55.716270,	8.218797
1663508480.000000,	55.672000,	8.352069
1664507136.000000,	55.658791,	8.284900
1665505792.000000,	55.615226,	8.608510
1666504576.000000,	55.594846,	8.487638
1667503232.000000,	55.564218,	8.595542
1668501888.000000,	55.559186,	8.642432
1669500672.000000,	55.517641,	8.929556

