% f (Hz),	G_rec (dB),	T_e_rec (K)
1063000000.000000,	57.761020,	6.702425
1064000000.000000,	57.752789,	6.590945
1065000000.000000,	57.764292,	6.559235
1066000000.000000,	57.782022,	6.609261
1067000000.000000,	57.788402,	6.601045
1068000000.000000,	57.782598,	6.578328
1069000000.000000,	57.798789,	6.499854
1070000000.000000,	57.772551,	6.640565
1071000000.000000,	57.780949,	6.617335
1072000000.000000,	57.783107,	6.529484
1073000000.000000,	57.805721,	6.571795
1074000000.000000,	57.796374,	6.458353
1075000000.000000,	57.781974,	6.598590
1076000000.000000,	57.790395,	6.461921
1077000000.000000,	57.775377,	6.587131
1078000000.000000,	57.785909,	6.470035
1079000000.000000,	57.791700,	6.276998
1080000000.000000,	57.782441,	6.472953
1081000000.000000,	57.756745,	6.578344
1082000000.000000,	57.760360,	6.501509
1083000000.000000,	57.780860,	6.504280
1084000000.000000,	57.779184,	6.495018
1085000000.000000,	57.774419,	6.546013
1086000000.000000,	57.776738,	6.571981
1087000000.000000,	57.798100,	6.533903
1088000000.000000,	57.782802,	6.676760
1089000000.000000,	57.805306,	6.398286
1090000000.000000,	57.815706,	6.520581
1091000000.000000,	57.823552,	6.407809
1092000000.000000,	57.845480,	6.460004
1093000000.000000,	57.842536,	6.573331
1094000000.000000,	57.843161,	6.544618
1095000000.000000,	57.851295,	6.537200
1096000000.000000,	57.865374,	6.471083
1097000000.000000,	57.875263,	6.570774
1098000000.000000,	57.858221,	6.494333
1099000000.000000,	57.862048,	6.557686
1100000000.000000,	57.864824,	6.540790
1101000000.000000,	57.851808,	6.559992
1102000000.000000,	57.869767,	6.576916
1103000000.000000,	57.829977,	6.630045
1104000000.000000,	57.850708,	6.521764
1105000000.000000,	57.833721,	6.682185
1106000000.000000,	57.868196,	6.636239
1107000000.000000,	57.861922,	6.641842
1108000000.000000,	57.838736,	6.560250
1109000000.000000,	57.846670,	6.657778
1110000000.000000,	57.862617,	6.729197
1111000000.000000,	57.872420,	6.686164
1112000000.000000,	57.875730,	6.699004
1113000000.000000,	57.877858,	6.643335
1114000000.000000,	57.887523,	6.687841
1115000000.000000,	57.898066,	6.822869
1116000000.000000,	57.914560,	6.646139
1117000000.000000,	57.920645,	6.789446
1118000000.000000,	57.917292,	6.700737
1119000000.000000,	57.938597,	6.658577
1120000000.000000,	57.940059,	6.697943
1121000000.000000,	57.941975,	6.775382
1122000000.000000,	57.929999,	6.770119
1123000000.000000,	57.940732,	6.893953
1124000000.000000,	57.944254,	6.921606
1125000000.000000,	57.937046,	6.870541
1126000000.000000,	57.950560,	6.933686
1127000000.000000,	57.942511,	6.827235
1128000000.000000,	57.934507,	6.979783
1129000000.000000,	57.937248,	6.806152
1130000000.000000,	57.948803,	6.863149
1131000000.000000,	57.964972,	6.818006
1132000000.000000,	57.957931,	6.800505
1133000000.000000,	57.968919,	6.865554
1134000000.000000,	57.977872,	6.987748
1135000000.000000,	58.019762,	6.873124
1136000000.000000,	57.993974,	6.903835
1137000000.000000,	58.019132,	6.971896
1138000000.000000,	58.029343,	6.922671
1139000000.000000,	58.057964,	7.038409
1140000000.000000,	58.072670,	6.917236
1141000000.000000,	58.069202,	6.949447
1142000000.000000,	58.089707,	6.966420
1143000000.000000,	58.120225,	6.977319
1144000000.000000,	58.139643,	6.908236
1145000000.000000,	58.125249,	6.826522
1146000000.000000,	58.150207,	6.886879
1147000000.000000,	58.140672,	6.870163
1148000000.000000,	58.152649,	6.987675
1149000000.000000,	58.158579,	6.919852
1150000000.000000,	58.165526,	6.965532
1151000000.000000,	58.171577,	6.891132
1152000000.000000,	58.173232,	6.907452
1153000000.000000,	58.191227,	6.818128
1154000000.000000,	58.175817,	6.907592
1155000000.000000,	58.203215,	6.698746
1156000000.000000,	58.176764,	6.904319
1157000000.000000,	58.202854,	6.931906
1158000000.000000,	58.224874,	6.831220
1159000000.000000,	58.229599,	6.955331
1160000000.000000,	58.246035,	6.912428
1161000000.000000,	58.261966,	6.845503
1162000000.000000,	58.290485,	6.833372
1163000000.000000,	58.305707,	6.813062
1164000000.000000,	58.315601,	6.853457
1165000000.000000,	58.321702,	6.846814
1166000000.000000,	58.317124,	6.976018
1167000000.000000,	58.319768,	6.908345
1168000000.000000,	58.321048,	6.894726
1169000000.000000,	58.344617,	6.746150
1170000000.000000,	58.337541,	6.827062
1171000000.000000,	58.326489,	6.731453
1172000000.000000,	58.330565,	6.870092
1173000000.000000,	58.351999,	6.712737
1174000000.000000,	58.348673,	6.755156
1175000000.000000,	58.343480,	6.822428
1176000000.000000,	58.338723,	6.761470
1177000000.000000,	58.342129,	6.786312
1178000000.000000,	58.345044,	6.768380
1179000000.000000,	58.368202,	6.654792
1180000000.000000,	58.353812,	6.794733
1181000000.000000,	58.367630,	6.755130
1182000000.000000,	58.369107,	6.711773
1183000000.000000,	58.363429,	6.780310
1184000000.000000,	58.394565,	6.719191
1185000000.000000,	58.402514,	6.777995
1186000000.000000,	58.407065,	6.823635
1187000000.000000,	58.395268,	6.751667
1188000000.000000,	58.421806,	6.711508
1189000000.000000,	58.412487,	6.732201
1190000000.000000,	58.435912,	6.713212
1191000000.000000,	58.432475,	6.692012
1192000000.000000,	58.459652,	6.526866
1193000000.000000,	58.454502,	6.555463
1194000000.000000,	58.463102,	6.696035
1195000000.000000,	58.460614,	6.668439
1196000000.000000,	58.462102,	6.599451
1197000000.000000,	58.431138,	6.834554
1198000000.000000,	58.452424,	6.787694
1199000000.000000,	58.457176,	6.631899
1200000000.000000,	58.451504,	6.655005
1201000000.000000,	58.445252,	6.838774
1202000000.000000,	58.466161,	6.785109
1203000000.000000,	58.483219,	6.731425
1204000000.000000,	58.483546,	6.597629
1205000000.000000,	58.486159,	6.740209
1206000000.000000,	58.497699,	6.635829
1207000000.000000,	58.487405,	6.729293
1208000000.000000,	58.468350,	6.707878
1209000000.000000,	58.477623,	6.725970
1210000000.000000,	58.501911,	6.586868
1211000000.000000,	58.506862,	6.605492
1212000000.000000,	58.477330,	6.694887
1213000000.000000,	58.476687,	6.540866
1214000000.000000,	58.495401,	6.604633
1215000000.000000,	58.477360,	6.619624
1216000000.000000,	58.479383,	6.552893
1217000000.000000,	58.474326,	6.763964
1218000000.000000,	58.476315,	6.631794
1219000000.000000,	58.493880,	6.645186
1220000000.000000,	58.490701,	6.665054
1221000000.000000,	58.507115,	6.604875
1222000000.000000,	58.504867,	6.611677
1223000000.000000,	58.513702,	6.665151
1224000000.000000,	58.526688,	6.811746
1225000000.000000,	58.522757,	6.697756
1226000000.000000,	58.537609,	6.751253
1227000000.000000,	58.536968,	6.799834
1228000000.000000,	58.577668,	6.673297
1229000000.000000,	58.567068,	6.758793
1230000000.000000,	58.595549,	6.683428
1231000000.000000,	58.592272,	6.778982
1232000000.000000,	58.579897,	6.922112
1233000000.000000,	58.598314,	6.819336
1234000000.000000,	58.601154,	6.899429
1235000000.000000,	58.604000,	6.716939
1236000000.000000,	58.604651,	6.896143
1237000000.000000,	58.618556,	6.934865
1238000000.000000,	58.621466,	6.923037
1239000000.000000,	58.646534,	6.690857
1240000000.000000,	58.634616,	7.005281
1241000000.000000,	58.634291,	6.936518
1242000000.000000,	58.654303,	7.011264
1243000000.000000,	58.666134,	6.900259
1244000000.000000,	58.680002,	6.904660
1245000000.000000,	58.693929,	7.016978
1246000000.000000,	58.685366,	7.116101
1247000000.000000,	58.691201,	6.996223
1248000000.000000,	58.714464,	6.917545
1249000000.000000,	58.741587,	7.148841
1250000000.000000,	58.738454,	7.142108
1251000000.000000,	58.755419,	6.961424
1252000000.000000,	58.762688,	6.952740
1253000000.000000,	58.784200,	6.929868
1254000000.000000,	58.778234,	7.106345
1255000000.000000,	58.789901,	7.145473
1256000000.000000,	58.797890,	7.073760
1257000000.000000,	58.797524,	7.014735
1258000000.000000,	58.831069,	7.092547
1259000000.000000,	58.799315,	7.190808
1260000000.000000,	58.821296,	7.120544
1261000000.000000,	58.843363,	7.112045
1262000000.000000,	58.814368,	7.265233
1263000000.000000,	58.825625,	7.141470
1264000000.000000,	58.845821,	7.043582
1265000000.000000,	58.876251,	7.109743
1266000000.000000,	58.862126,	7.246815
1267000000.000000,	58.898675,	7.246284
1268000000.000000,	58.882085,	7.218285
1269000000.000000,	58.921815,	7.098524
1270000000.000000,	58.909236,	7.252545
1271000000.000000,	58.930423,	7.317501
1272000000.000000,	58.936195,	7.321100
1273000000.000000,	58.951933,	7.176959
1274000000.000000,	58.966543,	7.330433
1275000000.000000,	58.988447,	7.282338
1276000000.000000,	58.995071,	7.284444
1277000000.000000,	59.006112,	7.147980
1278000000.000000,	59.016267,	7.289765
1279000000.000000,	59.035259,	7.304413
1280000000.000000,	59.025876,	7.336555
1281000000.000000,	59.027203,	7.306468
1282000000.000000,	59.035388,	7.267247
1283000000.000000,	59.018473,	7.260899
1284000000.000000,	59.035800,	7.221838
1285000000.000000,	59.051738,	7.370630
1286000000.000000,	59.051383,	7.171283
1287000000.000000,	59.061437,	7.224617
1288000000.000000,	59.078400,	6.991284
1289000000.000000,	59.088847,	7.198991
1290000000.000000,	59.096715,	7.060452
1291000000.000000,	59.088885,	7.107871
1292000000.000000,	59.113616,	6.952629
1293000000.000000,	59.119267,	7.043017
1294000000.000000,	59.127293,	7.095296
1295000000.000000,	59.135815,	6.974905
1296000000.000000,	59.141571,	7.033574
1297000000.000000,	59.138156,	7.099805
1298000000.000000,	59.156521,	7.016416
1299000000.000000,	59.166845,	6.976410
1300000000.000000,	59.170938,	6.970154
1301000000.000000,	59.189340,	6.907429
1302000000.000000,	59.188595,	6.953437
1303000000.000000,	59.185074,	7.011669
1304000000.000000,	59.191923,	6.715973
1305000000.000000,	59.188587,	6.879831
1306000000.000000,	59.194833,	6.705563
1307000000.000000,	59.196897,	6.646288
1308000000.000000,	59.203771,	6.698703
1309000000.000000,	59.184882,	6.690743
1310000000.000000,	59.185284,	6.706059
1311000000.000000,	59.169946,	6.585528
1312000000.000000,	59.198821,	6.601596
1313000000.000000,	59.183625,	6.648559
1314000000.000000,	59.175004,	6.507309
1315000000.000000,	59.186035,	6.699731
1316000000.000000,	59.183030,	6.515220
1317000000.000000,	59.191130,	6.509779
1318000000.000000,	59.197719,	6.479417
1319000000.000000,	59.189140,	6.597210
1320000000.000000,	59.190489,	6.468303
1321000000.000000,	59.193974,	6.486528
1322000000.000000,	59.188546,	6.565792
1323000000.000000,	59.194390,	6.397578
1324000000.000000,	59.184689,	6.444038
1325000000.000000,	59.198386,	6.429553
1326000000.000000,	59.208226,	6.462726
1327000000.000000,	59.182469,	6.446367
1328000000.000000,	59.191381,	6.482528
1329000000.000000,	59.193564,	6.479092
1330000000.000000,	59.194673,	6.319692
1331000000.000000,	59.169175,	6.501435
1332000000.000000,	59.172573,	6.477392
1333000000.000000,	59.180141,	6.460378
1334000000.000000,	59.163351,	6.473345
1335000000.000000,	59.171664,	6.321375
1336000000.000000,	59.170462,	6.360326
1337000000.000000,	59.147865,	6.513054
1338000000.000000,	59.153843,	6.338638
1339000000.000000,	59.162082,	6.358104
1340000000.000000,	59.131592,	6.506858
1341000000.000000,	59.135399,	6.486798
1342000000.000000,	59.112633,	6.396353
1343000000.000000,	59.120767,	6.497976
1344000000.000000,	59.106691,	6.440066
1345000000.000000,	59.095258,	6.375423
1346000000.000000,	59.082648,	6.584382
1347000000.000000,	59.100003,	6.407091
1348000000.000000,	59.103439,	6.465779
1349000000.000000,	59.085309,	6.514249
1350000000.000000,	59.076463,	6.518214
1351000000.000000,	59.074863,	6.494753
1352000000.000000,	59.053338,	6.490729
1353000000.000000,	59.069352,	6.380850
1354000000.000000,	59.036326,	6.490107
1355000000.000000,	59.054730,	6.509274
1356000000.000000,	59.038354,	6.519251
