% f (Hz),	G_rec (dB),	T_e_rec (K)
1599000000.000000,	57.054338,	7.412761
1600000000.000000,	57.019623,	7.378673
1601000000.000000,	57.010661,	7.394576
1602000000.000000,	57.004438,	7.387189
1603000000.000000,	56.985222,	7.314613
1604000000.000000,	56.966537,	7.398606
1605000000.000000,	56.932095,	7.380468
1606000000.000000,	56.928406,	7.566830
1607000000.000000,	56.930434,	7.536818
1608000000.000000,	56.910819,	7.537959
1609000000.000000,	56.914757,	7.395025
1610000000.000000,	56.879699,	7.478822
1611000000.000000,	56.884045,	7.446749
1612000000.000000,	56.872477,	7.506525
1613000000.000000,	56.849928,	7.527880
1614000000.000000,	56.834583,	7.616895
1615000000.000000,	56.842597,	7.300870
1616000000.000000,	56.805669,	7.629575
1617000000.000000,	56.779408,	7.857623
1618000000.000000,	56.761120,	7.849820
1619000000.000000,	56.748839,	7.750112
1620000000.000000,	56.733549,	7.617098
1621000000.000000,	56.733683,	7.660030
1622000000.000000,	56.727872,	7.671622
1623000000.000000,	56.692906,	7.817841
1624000000.000000,	56.696730,	7.671555
1625000000.000000,	56.674356,	7.809105
1626000000.000000,	56.666503,	7.710806
1627000000.000000,	56.675490,	7.751474
1628000000.000000,	56.673166,	7.687309
1629000000.000000,	56.661916,	7.689940
1630000000.000000,	56.660927,	7.548806
1631000000.000000,	56.663799,	7.711416
1632000000.000000,	56.635348,	7.651717
1633000000.000000,	56.636785,	7.739906
1634000000.000000,	56.643611,	7.639005
1635000000.000000,	56.613932,	7.819418
1636000000.000000,	56.596999,	7.848876
1637000000.000000,	56.604948,	7.526720
1638000000.000000,	56.559863,	7.618053
1639000000.000000,	56.556826,	7.901005
1640000000.000000,	56.552013,	7.830162
1641000000.000000,	56.556443,	7.662742
1642000000.000000,	56.538566,	7.691723
1643000000.000000,	56.502443,	7.705434
1644000000.000000,	56.488972,	7.692121
1645000000.000000,	56.488406,	7.629549
1646000000.000000,	56.481091,	7.509719
1647000000.000000,	56.454047,	7.696546
1648000000.000000,	56.423213,	7.781695
1649000000.000000,	56.425284,	7.755930
1650000000.000000,	56.404313,	7.742405
1651000000.000000,	56.376187,	7.797504
1652000000.000000,	56.362733,	7.782137
1653000000.000000,	56.346359,	7.778739
1654000000.000000,	56.362072,	7.612275
1655000000.000000,	56.314586,	7.782229
1656000000.000000,	56.311274,	7.718025
1657000000.000000,	56.277464,	7.871911
1658000000.000000,	56.257627,	7.892096
1659000000.000000,	56.207324,	7.945185
1660000000.000000,	56.221974,	7.767030
1661000000.000000,	56.180142,	7.996887
1662000000.000000,	56.152007,	7.911144
1663000000.000000,	56.122982,	7.997600
1664000000.000000,	56.097828,	8.175826
1665000000.000000,	56.078947,	8.110832
1666000000.000000,	56.058977,	8.100380
1667000000.000000,	56.030211,	8.102375
1668000000.000000,	56.018137,	8.220751
1669000000.000000,	55.968667,	8.403495
1670000000.000000,	55.943245,	8.520382



