% f (Hz),G_rec (dB),T_e_rec (K)
1111000000,  54.21,   8.41
1112000000,  54.22,   8.42
1113000000,  54.22,   8.33
1114000000,  54.21,   8.26
1115000000,  54.23,   8.20
1116000000,  54.23,   8.37
1117000000,  54.24,   8.28
1118000000,  54.24,   8.53
1119000000,  54.24,   8.39
1120000000,  54.25,   8.47
1121000000,  54.26,   8.46
1122000000,  54.26,   8.44
1123000000,  54.27,   8.36
1124000000,  54.27,   8.44
1125000000,  54.28,   8.29
1126000000,  54.29,   8.51
1127000000,  54.30,   8.46
1128000000,  54.32,   8.49
1129000000,  54.32,   8.46
1130000000,  54.32,   8.38
1131000000,  54.34,   8.43
1132000000,  54.35,   8.27
1133000000,  54.36,   8.50
1134000000,  54.36,   8.53
1135000000,  54.38,   8.48
1136000000,  54.38,   8.58
1137000000,  54.39,   8.45
1138000000,  54.40,   8.28
1139000000,  54.40,   8.55
1140000000,  54.41,   8.32
1141000000,  54.42,   8.49
1142000000,  54.43,   8.29
1143000000,  54.44,   8.42
1144000000,  54.45,   8.39
1145000000,  54.46,   8.43
1146000000,  54.46,   8.41
1147000000,  54.47,   8.48
1148000000,  54.48,   8.49
1149000000,  54.48,   8.44
1150000000,  54.49,   8.56
1151000000,  54.50,   8.42
1152000000,  54.50,   8.44
1153000000,  54.50,   8.26
1154000000,  54.52,   8.38
1155000000,  54.51,   8.48
1156000000,  54.53,   8.41
1157000000,  54.53,   8.34
1158000000,  54.53,   8.18
1159000000,  54.53,   8.30
1160000000,  54.53,   8.44
1161000000,  54.53,   8.41
1162000000,  54.54,   8.33
1163000000,  54.55,   8.21
1164000000,  54.54,   8.22
1165000000,  54.55,   8.27
1166000000,  54.53,   8.30
1167000000,  54.54,   8.31
1168000000,  54.54,   8.47
1169000000,  54.53,   8.26
1170000000,  54.53,   8.25
1171000000,  54.54,   8.35
1172000000,  54.54,   8.32
1173000000,  54.53,   8.35
1174000000,  54.53,   8.25
1175000000,  54.52,   8.23
1176000000,  54.53,   8.26
1177000000,  54.52,   8.36
1178000000,  54.52,   8.32
1179000000,  54.52,   8.32
1180000000,  54.51,   8.25
1181000000,  54.51,   8.35
1182000000,  54.50,   8.28
1183000000,  54.50,   8.30
1184000000,  54.49,   8.37
1185000000,  54.48,   8.22
1186000000,  54.47,   8.31
1187000000,  54.45,   8.40
1188000000,  54.45,   8.31
1189000000,  54.45,   8.40
1190000000,  54.45,   8.36
1191000000,  54.44,   8.34
1192000000,  54.44,   8.24
1193000000,  54.42,   8.35
1194000000,  54.42,   8.38
1195000000,  54.42,   8.31
1196000000,  54.42,   8.47
1197000000,  54.41,   8.41
1198000000,  54.40,   8.45
1199000000,  54.41,   8.39
1200000000,  54.39,   8.39
1201000000,  54.40,   8.38
1202000000,  54.39,   8.48
1203000000,  54.39,   8.59
1204000000,  54.38,   8.44
1205000000,  54.39,   8.33
1206000000,  54.38,   8.37
1207000000,  54.38,   8.48
1208000000,  54.36,   8.52
1209000000,  54.37,   8.64
1210000000,  54.37,   8.43
1211000000,  54.36,   8.47
1212000000,  54.37,   8.47
1213000000,  54.36,   8.31
1214000000,  54.36,   8.58
1215000000,  54.35,   8.39
1216000000,  54.35,   8.57
1217000000,  54.35,   8.63
1218000000,  54.35,   8.34
1219000000,  54.36,   8.52
1220000000,  54.37,   8.53
1221000000,  54.37,   8.26
1222000000,  54.37,   8.55
1223000000,  54.38,   8.48
1224000000,  54.38,   8.45
1225000000,  54.39,   8.47
1226000000,  54.40,   8.46
1227000000,  54.40,   8.36
1228000000,  54.40,   8.52
1229000000,  54.41,   8.33
1230000000,  54.43,   8.49
1231000000,  54.43,   8.59
1232000000,  54.43,   8.46
1233000000,  54.44,   8.52
1234000000,  54.44,   8.43
1235000000,  54.45,   8.52
1236000000,  54.46,   8.36
1237000000,  54.47,   8.49
1238000000,  54.47,   8.45
1239000000,  54.49,   8.35
1240000000,  54.49,   8.39
1241000000,  54.51,   8.42
1242000000,  54.51,   8.38
1243000000,  54.52,   8.40
1244000000,  54.53,   8.26
1245000000,  54.54,   8.45
1246000000,  54.55,   8.34
1247000000,  54.56,   8.45
1248000000,  54.58,   8.41
1249000000,  54.59,   8.46
1250000000,  54.59,   8.38
1251000000,  54.61,   8.36
1252000000,  54.61,   8.42
1253000000,  54.63,   8.22
1254000000,  54.64,   8.14
1255000000,  54.66,   8.30
1256000000,  54.67,   8.26
1257000000,  54.67,   8.30
1258000000,  54.68,   8.31
1259000000,  54.70,   8.24
1260000000,  54.71,   8.12
1261000000,  54.72,   8.16
1262000000,  54.73,   8.26
1263000000,  54.74,   8.08
1264000000,  54.75,   8.18
1265000000,  54.77,   8.08
1266000000,  54.79,   8.07
1267000000,  54.79,   8.15
1268000000,  54.81,   8.11
1269000000,  54.83,   8.06
1270000000,  54.82,   7.94
1271000000,  54.84,   7.91
1272000000,  54.85,   7.91
1273000000,  54.85,   7.90
1274000000,  54.87,   7.96
1275000000,  54.89,   7.89
1276000000,  54.89,   7.91
1277000000,  54.89,   8.00
1278000000,  54.91,   7.99
1279000000,  54.92,   7.81
1280000000,  54.92,   7.91
1281000000,  54.93,   7.84
1282000000,  54.94,   7.94
1283000000,  54.94,   7.77
1284000000,  54.95,   7.74
1285000000,  54.96,   7.77
1286000000,  54.96,   7.89
1287000000,  54.97,   7.74
1288000000,  54.99,   7.88
1289000000,  54.99,   7.78
1290000000,  54.99,   7.86
1291000000,  55.01,   7.67
1292000000,  55.01,   7.71
1293000000,  55.00,   7.74
1294000000,  55.02,   7.61
1295000000,  55.02,   7.64
1296000000,  55.01,   7.65
1297000000,  55.02,   7.72
1298000000,  55.02,   7.50
1299000000,  55.02,   7.61
1300000000,  55.03,   7.80
1301000000,  55.03,   7.60
1302000000,  55.02,   7.53
1303000000,  55.02,   7.51
1304000000,  55.02,   7.58
1305000000,  55.03,   7.67
1306000000,  55.01,   7.52
1307000000,  55.02,   7.59
1308000000,  55.02,   7.56
1309000000,  55.01,   7.52
1310000000,  55.02,   7.44
1311000000,  55.00,   7.52
1312000000,  55.01,   7.65
1313000000,  55.01,   7.59
1314000000,  55.00,   7.62
1315000000,  55.00,   7.57
1316000000,  55.00,   7.75
1317000000,  54.99,   7.68
1318000000,  54.99,   7.51
1319000000,  54.99,   7.51
1320000000,  54.99,   7.57
1321000000,  54.98,   7.39
1322000000,  54.96,   7.59
1323000000,  54.97,   7.64
1324000000,  54.96,   7.67
1325000000,  54.95,   7.71
1326000000,  54.94,   7.57
1327000000,  54.94,   7.48
1328000000,  54.94,   7.63
1329000000,  54.93,   7.62
1330000000,  54.91,   7.51
1331000000,  54.91,   7.71
1332000000,  54.91,   7.57
1333000000,  54.90,   7.61
1334000000,  54.90,   7.63
1335000000,  54.90,   7.50
1336000000,  54.89,   7.75
1337000000,  54.89,   7.85
1338000000,  54.88,   7.92
1339000000,  54.88,   7.70
1340000000,  54.87,   7.68
1341000000,  54.87,   7.79
1342000000,  54.87,   7.77
1343000000,  54.85,   7.76
1344000000,  54.85,   7.78
1345000000,  54.85,   7.77
1346000000,  54.84,   7.87
1347000000,  54.83,   7.87
1348000000,  54.82,   7.87
1349000000,  54.82,   7.78
1350000000,  54.81,   7.86
1351000000,  54.81,   7.83
1352000000,  54.80,   7.82
1353000000,  54.80,   7.99
1354000000,  54.80,   7.63
1355000000,  54.79,   7.98
1356000000,  54.79,   8.06
1357000000,  54.80,   8.08
1358000000,  54.79,   7.94
1359000000,  54.79,   8.16
1360000000,  54.79,   7.93
1361000000,  54.80,   7.96
1362000000,  54.79,   7.97
1363000000,  54.80,   7.92
1364000000,  54.79,   8.27
1365000000,  54.80,   7.95
1366000000,  54.81,   8.03
1367000000,  54.81,   7.98
1368000000,  54.80,   8.22
1369000000,  54.80,   8.12
1370000000,  54.80,   8.10
1371000000,  54.80,   8.16
1372000000,  54.80,   8.10
1373000000,  54.80,   8.35
1374000000,  54.80,   8.22
1375000000,  54.80,   8.40
1376000000,  54.79,   8.34
1377000000,  54.79,   8.32
1378000000,  54.79,   8.20
1379000000,  54.78,   8.19
1380000000,  54.78,   8.27
1381000000,  54.79,   8.50
1382000000,  54.78,   8.34
1383000000,  54.78,   8.45
1384000000,  54.78,   8.32
1385000000,  54.79,   8.47
1386000000,  54.79,   8.39
1387000000,  54.77,   8.64
1388000000,  54.79,   8.58
1389000000,  54.80,   8.64
1390000000,  54.79,   8.63
1391000000,  54.81,   8.45
1392000000,  54.80,   8.52
1393000000,  54.80,   8.60
1394000000,  54.81,   8.58
1395000000,  54.82,   8.61
1396000000,  54.81,   8.52
1397000000,  54.81,   8.62
1398000000,  54.81,   8.64
1399000000,  54.81,   8.60
1400000000,  54.81,   8.63
1401000000,  54.82,   8.56
1402000000,  54.80,   8.59
1403000000,  54.80,   8.67
1404000000,  54.80,   8.71
1405000000,  54.79,   9.02
1406000000,  54.78,   8.74
1407000000,  54.78,   8.82
1408000000,  54.78,   8.88
1409000000,  54.77,   9.04
1410000000,  54.77,   8.94
1411000000,  54.77,   8.95
1412000000,  54.77,   9.25
1413000000,  54.76,   9.23
1414000000,  54.77,   9.23
1415000000,  54.78,   9.31
1416000000,  54.77,   9.21
1417000000,  54.78,   9.38
1418000000,  54.78,   9.27
1419000000,  54.78,   9.30
1420000000,  54.78,   9.11
1421000000,  54.79,   9.05
1422000000,  54.78,   9.18
1423000000,  54.79,   9.01
1424000000,  54.79,   9.02
1425000000,  54.79,   8.82
1426000000,  54.79,   8.64
