% f (Hz),G_rec (dB),T_e_rec (K)
1111000000,  56.20,   8.60
1112000000,  56.21,   8.67
1113000000,  56.21,   8.56
1114000000,  56.21,   8.61
1115000000,  56.23,   8.62
1116000000,  56.24,   8.56
1117000000,  56.25,   8.71
1118000000,  56.26,   8.57
1119000000,  56.27,   8.60
1120000000,  56.28,   8.64
1121000000,  56.29,   8.76
1122000000,  56.30,   8.62
1123000000,  56.31,   8.81
1124000000,  56.32,   8.73
1125000000,  56.34,   8.81
1126000000,  56.36,   8.72
1127000000,  56.37,   8.71
1128000000,  56.39,   8.81
1129000000,  56.40,   8.78
1130000000,  56.40,   8.75
1131000000,  56.42,   8.71
1132000000,  56.44,   8.64
1133000000,  56.45,   8.70
1134000000,  56.46,   8.68
1135000000,  56.49,   8.63
1136000000,  56.50,   8.66
1137000000,  56.51,   8.76
1138000000,  56.53,   8.70
1139000000,  56.53,   8.75
1140000000,  56.55,   8.75
1141000000,  56.57,   8.66
1142000000,  56.58,   8.78
1143000000,  56.61,   8.81
1144000000,  56.62,   8.71
1145000000,  56.63,   8.72
1146000000,  56.64,   8.72
1147000000,  56.65,   8.89
1148000000,  56.66,   8.69
1149000000,  56.67,   8.58
1150000000,  56.68,   8.67
1151000000,  56.69,   8.69
1152000000,  56.69,   8.65
1153000000,  56.70,   8.65
1154000000,  56.74,   8.67
1155000000,  56.74,   8.57
1156000000,  56.76,   8.56
1157000000,  56.77,   8.65
1158000000,  56.78,   8.57
1159000000,  56.79,   8.52
1160000000,  56.80,   8.48
1161000000,  56.80,   8.55
1162000000,  56.81,   8.47
1163000000,  56.82,   8.54
1164000000,  56.82,   8.55
1165000000,  56.83,   8.55
1166000000,  56.82,   8.44
1167000000,  56.83,   8.34
1168000000,  56.83,   8.49
1169000000,  56.83,   8.57
1170000000,  56.83,   8.47
1171000000,  56.84,   8.39
1172000000,  56.84,   8.41
1173000000,  56.84,   8.43
1174000000,  56.84,   8.43
1175000000,  56.84,   8.35
1176000000,  56.84,   8.35
1177000000,  56.84,   8.36
1178000000,  56.84,   8.27
1179000000,  56.84,   8.48
1180000000,  56.83,   8.57
1181000000,  56.83,   8.50
1182000000,  56.82,   8.46
1183000000,  56.83,   8.37
1184000000,  56.82,   8.39
1185000000,  56.81,   8.55
1186000000,  56.81,   8.41
1187000000,  56.78,   8.40
1188000000,  56.78,   8.37
1189000000,  56.78,   8.39
1190000000,  56.77,   8.40
1191000000,  56.76,   8.41
1192000000,  56.76,   8.50
1193000000,  56.74,   8.36
1194000000,  56.74,   8.37
1195000000,  56.73,   8.36
1196000000,  56.73,   8.45
1197000000,  56.71,   8.43
1198000000,  56.70,   8.54
1199000000,  56.71,   8.41
1200000000,  56.68,   8.48
1201000000,  56.69,   8.54
1202000000,  56.68,   8.52
1203000000,  56.68,   8.49
1204000000,  56.67,   8.45
1205000000,  56.67,   8.62
1206000000,  56.66,   8.40
1207000000,  56.65,   8.40
1208000000,  56.64,   8.54
1209000000,  56.64,   8.61
1210000000,  56.64,   8.44
1211000000,  56.63,   8.59
1212000000,  56.63,   8.51
1213000000,  56.62,   8.54
1214000000,  56.61,   8.58
1215000000,  56.61,   8.57
1216000000,  56.60,   8.54
1217000000,  56.60,   8.47
1218000000,  56.59,   8.62
1219000000,  56.60,   8.68
1220000000,  56.60,   8.68
1221000000,  56.59,   8.62
1222000000,  56.59,   8.78
1223000000,  56.59,   8.79
1224000000,  56.58,   8.70
1225000000,  56.59,   8.72
1226000000,  56.59,   8.77
1227000000,  56.59,   8.78
1228000000,  56.58,   8.69
1229000000,  56.58,   8.75
1230000000,  56.60,   8.85
1231000000,  56.60,   8.85
1232000000,  56.59,   8.81
1233000000,  56.61,   8.73
1234000000,  56.61,   8.90
1235000000,  56.62,   8.90
1236000000,  56.63,   8.84
1237000000,  56.63,   8.92
1238000000,  56.64,   8.99
1239000000,  56.65,   8.89
1240000000,  56.66,   8.90
1241000000,  56.67,   8.87
1242000000,  56.68,   8.99
1243000000,  56.69,   9.01
1244000000,  56.69,   9.01
1245000000,  56.70,   8.91
1246000000,  56.72,   8.95
1247000000,  56.73,   8.99
1248000000,  56.74,   9.05
1249000000,  56.76,   8.93
1250000000,  56.76,   8.93
1251000000,  56.77,   9.21
1252000000,  56.78,   9.02
1253000000,  56.79,   9.02
1254000000,  56.81,   9.09
1255000000,  56.83,   9.10
1256000000,  56.84,   8.99
1257000000,  56.84,   9.06
1258000000,  56.85,   9.04
1259000000,  56.87,   9.20
1260000000,  56.88,   9.08
1261000000,  56.90,   9.07
1262000000,  56.90,   9.05
1263000000,  56.92,   9.12
1264000000,  56.93,   9.16
1265000000,  56.95,   9.01
1266000000,  56.97,   9.10
1267000000,  56.97,   9.02
1268000000,  56.99,   9.20
1269000000,  57.01,   9.10
1270000000,  57.01,   9.04
1271000000,  57.04,   9.15
1272000000,  57.05,   9.01
1273000000,  57.06,   9.16
1274000000,  57.08,   9.18
1275000000,  57.10,   9.20
1276000000,  57.11,   9.06
1277000000,  57.11,   8.97
1278000000,  57.13,   9.02
1279000000,  57.14,   9.03
1280000000,  57.15,   8.99
1281000000,  57.16,   8.96
1282000000,  57.18,   9.04
1283000000,  57.18,   9.01
1284000000,  57.19,   9.13
1285000000,  57.19,   8.98
1286000000,  57.20,   8.90
1287000000,  57.22,   8.84
1288000000,  57.23,   8.86
1289000000,  57.24,   8.89
1290000000,  57.24,   8.98
1291000000,  57.26,   8.86
1292000000,  57.26,   8.76
1293000000,  57.25,   8.79
1294000000,  57.28,   8.66
1295000000,  57.28,   8.67
1296000000,  57.28,   8.60
1297000000,  57.28,   8.69
1298000000,  57.29,   8.58
1299000000,  57.29,   8.70
1300000000,  57.31,   8.76
1301000000,  57.30,   8.61
1302000000,  57.30,   8.35
1303000000,  57.31,   8.44
1304000000,  57.31,   8.58
1305000000,  57.32,   8.45
1306000000,  57.30,   8.39
1307000000,  57.31,   8.48
1308000000,  57.31,   8.48
1309000000,  57.30,   8.49
1310000000,  57.32,   8.38
1311000000,  57.30,   8.37
1312000000,  57.31,   8.40
1313000000,  57.31,   8.22
1314000000,  57.30,   8.38
1315000000,  57.30,   8.34
1316000000,  57.30,   8.31
1317000000,  57.29,   8.27
1318000000,  57.29,   8.26
1319000000,  57.30,   8.31
1320000000,  57.29,   8.32
1321000000,  57.28,   8.20
1322000000,  57.27,   8.08
1323000000,  57.28,   8.14
1324000000,  57.27,   8.26
1325000000,  57.26,   8.29
1326000000,  57.26,   8.25
1327000000,  57.26,   8.29
1328000000,  57.26,   8.18
1329000000,  57.25,   8.29
1330000000,  57.23,   8.22
1331000000,  57.23,   8.25
1332000000,  57.22,   8.14
1333000000,  57.22,   8.15
1334000000,  57.21,   8.17
1335000000,  57.20,   8.16
1336000000,  57.19,   8.12
1337000000,  57.18,   8.22
1338000000,  57.17,   8.23
1339000000,  57.16,   8.23
1340000000,  57.15,   8.19
1341000000,  57.15,   8.20
1342000000,  57.15,   8.26
1343000000,  57.13,   8.03
1344000000,  57.13,   8.33
1345000000,  57.13,   8.33
1346000000,  57.12,   8.27
1347000000,  57.12,   8.38
1348000000,  57.09,   8.31
1349000000,  57.10,   8.26
1350000000,  57.09,   8.30
1351000000,  57.09,   8.29
1352000000,  57.09,   8.27
1353000000,  57.09,   8.20
1354000000,  57.08,   8.33
1355000000,  57.07,   8.29
1356000000,  57.07,   8.39
1357000000,  57.08,   8.37
1358000000,  57.06,   8.24
1359000000,  57.06,   8.30
1360000000,  57.06,   8.42
1361000000,  57.07,   8.44
1362000000,  57.06,   8.43
1363000000,  57.05,   8.23
1364000000,  57.05,   8.33
1365000000,  57.05,   8.48
1366000000,  57.06,   8.34
1367000000,  57.05,   8.33
1368000000,  57.05,   8.34
1369000000,  57.04,   8.35
1370000000,  57.05,   8.24
1371000000,  57.05,   8.41
1372000000,  57.05,   8.51
1373000000,  57.05,   8.48
1374000000,  57.06,   8.55
1375000000,  57.06,   8.61
1376000000,  57.06,   8.55
1377000000,  57.08,   8.61
1378000000,  57.08,   8.64
1379000000,  57.08,   8.67
1380000000,  57.09,   8.82
1381000000,  57.10,   8.60
1382000000,  57.10,   8.65
1383000000,  57.10,   8.72
1384000000,  57.11,   8.71
1385000000,  57.12,   8.79
1386000000,  57.13,   8.66
1387000000,  57.11,   8.67
1388000000,  57.13,   8.79
1389000000,  57.14,   8.81
1390000000,  57.13,   8.81
1391000000,  57.15,   8.77
1392000000,  57.14,   8.80
1393000000,  57.15,   8.91
1394000000,  57.16,   8.88
1395000000,  57.16,   8.98
1396000000,  57.16,   8.92
1397000000,  57.16,   8.99
1398000000,  57.16,   9.06
1399000000,  57.16,   9.19
1400000000,  57.17,   9.21
1401000000,  57.18,   9.21
1402000000,  57.17,   9.40
1403000000,  57.17,   9.51
1404000000,  57.17,   9.74
1405000000,  57.17,   9.67
1406000000,  57.16,  10.07
1407000000,  57.16,  10.03
1408000000,  57.17,  10.08
1409000000,  57.17,  10.09
1410000000,  57.17,  10.12
1411000000,  57.17,  10.11
1412000000,  57.19,  10.31
1413000000,  57.19,  10.10
1414000000,  57.20,  10.10
1415000000,  57.21,  10.03
1416000000,  57.22,   9.93
1417000000,  57.22,   9.95
1418000000,  57.23,   9.89
1419000000,  57.23,   9.82
1420000000,  57.23,   9.80
1421000000,  57.24,   9.90
1422000000,  57.24,   9.75
1423000000,  57.25,   9.61
1424000000,  57.25,   9.58
1425000000,  57.25,   9.59
1426000000,  57.25,   9.72
1427000000,  57.25,   9.67
1428000000,  57.25,   9.75
1429000000,  57.25,   9.70
1430000000,  57.25,   9.69
1431000000,  57.25,   9.78
1432000000,  57.25,   9.88
1433000000,  57.24,  10.03
1434000000,  57.25,   9.86
1435000000,  57.24,   9.96
1436000000,  57.24,   9.85
1437000000,  57.24,   9.80
1438000000,  57.24,   9.94
1439000000,  57.24,  10.11
1440000000,  57.24,  10.03
1441000000,  57.24,  10.04
1442000000,  57.25,  10.10
1443000000,  57.23,   9.92
1444000000,  57.24,   9.84
1445000000,  57.24,   9.92
1446000000,  57.24,   9.96
1447000000,  57.23,   9.72
1448000000,  57.23,   9.85
1449000000,  57.24,   9.69
1450000000,  57.23,   9.66
1451000000,  57.23,   9.78
1452000000,  57.23,   9.59
1453000000,  57.22,   9.67
1454000000,  57.22,   9.54
1455000000,  57.22,   9.63
1456000000,  57.21,   9.51
1457000000,  57.21,   9.41
1458000000,  57.20,   9.44
1459000000,  57.20,   9.51
1460000000,  57.20,   9.45
1461000000,  57.20,   9.42
1462000000,  57.19,   9.33
1463000000,  57.19,   9.28
1464000000,  57.18,   9.30
1465000000,  57.18,   9.29
1466000000,  57.17,   9.36
1467000000,  57.16,   9.43
1468000000,  57.17,   9.32
1469000000,  57.16,   9.35
1470000000,  57.15,   9.39
