|#SOURCE_ID|RA|DEC|NVSS_FLUX|INT_SPEC_INDX|3C_NAME|PKS_JNAME|PKS_1410_FLUX|PKS_635_FLUX|PKS_408_FLUX|PKS_SPEC_INDX 
962|844727|148.025606|28.47585|1.393361|-0.446162|No-3C|No-PKS|0.0|0.0|0.0|0.0
963|845535|207.558762|-22.078114|1.118814|0.489133|No-3C|PKS-J1350-2204|0.0|0.0|1.37|0.0
964|846275|13.959846|26.409932|1.370672|-1.207565|3C28|PKS-J0055+2624|1.8|5.0|0.0|-1.139809
965|846276|13.961349|26.410875|1.633182|-1.152557|3C28|PKS-J0055+2624|1.8|5.0|0.0|-1.139809
966|849369|103.202182|22.539614|1.053512|-1.090681|3C170|PKS-J0652+2231|1.0|2.9|0.0|-0.911676
967|849782|105.530707|25.218824|1.612217|-0.855214|3C172|PKS-J0702+2513|2.7|5.8|0.0|-0.846416
968|849783|105.53785|25.241943|1.361332|-0.772088|3C172|PKS-J0702+2513|2.7|5.8|0.0|-0.846416
969|853232|354.167699|8.831047|1.142233|-0.66166|No-3C|PKS-J2336+0849|1.1|0.0|2.73|-0.786163
970|853347|356.653513|9.512757|1.821973|-0.044649|No-3C|PKS-J2346+0930|2.1|0.0|2.36|-0.163159
971|854155|151.284357|-21.873387|1.070146|-0.473473|No-3C|PKS-J1005-2151|1.8|0.0|2.11|-0.411928
972|854168|151.29761|-21.748468|1.107874|-1.347452|No-3C|No-PKS|0.0|0.0|0.0|0.0
973|855247|286.016886|5.416811|2.725527|-0.380955|3C396|PKS-J1904+0526|15.3|0.0|0.0|-0.357182
975|855331|236.012015|-33.875246|1.71602|-0.841143|No-3C|PKS-J1544-3352|0.0|0.0|4.33|-0.778567
976|855375|233.472487|-33.62045|1.118951|-0.826855|No-3C|PKS-J1533-3337|0.0|0.0|3.14|-0.791984
977|856169|55.223898|7.590341|1.046722|-0.516696|No-3C|PKS-J0340+0735|1.4|0.0|2.23|-0.450118
978|857194|289.865438|-29.966806|1.878304|-0.746547|No-3C|PKS-J1919-2957|0.0|0.0|3.73|-0.702904
979|857276|288.620105|-29.474641|1.393025|-0.657606|No-3C|No-PKS|0.0|0.0|0.0|0.0
980|857636|288.949033|-26.882935|2.088699|-0.920475|No-3C|No-PKS|0.0|0.0|0.0|0.0
981|858097|98.179748|15.999359|1.47165|-0.275588|No-3C|No-PKS|0.0|0.0|0.0|0.0
982|860646|94.739554|13.608736|2.014127|-0.677662|No-3C|No-PKS|0.0|0.0|0.0|0.0
983|864812|355.138531|13.550091|1.844428|-0.64177|No-3C|PKS-J2340+1333|1.9|0.0|6.09|-0.65056
984|866444|290.479735|-35.445012|1.65672|-0.638323|No-3C|PKS-J1921-3526|1.53|3.02|3.85|-0.718723
985|866676|113.478303|2.039428|1.288062|-0.819792|No-3C|PKS-J0733+0202|1.2|0.0|4.31|-0.814929
986|868749|298.753156|27.2148|1.827585|0.63001|No-3C|No-PKS|0.0|0.0|0.0|0.0
987|869832|31.781347|6.982266|1.63677|-0.592483|No-3C|PKS-J0207+0658|1.4|0.0|3.98|-0.616842
988|870178|31.144715|9.063659|1.871465|0.963708|No-3C|No-PKS|0.0|0.0|0.0|0.0
989|870302|32.452163|9.831743|1.253944|-0.601161|No-3C|PKS-J0209+0949|1.2|0.0|2.69|-0.560907
990|870764|223.980065|-11.149634|4.331357|-0.656028|No-3C|PKS-J1455-1108|3.9|0.0|10.3|-0.741147
991|870946|66.035825|2.073641|1.18298|0.403097|No-3C|PKS-J0424+0204|1.36|0.0|1.06|-0.085698
992|871363|68.802256|4.565986|1.064397|-0.714593|No-3C|PKS-J0435+0433|1.2|0.0|3.01|-0.814181
993|871416|66.579628|4.840506|1.323729|-0.717756|No-3C|PKS-J0426+0450|1.2|0.0|3.66|-0.817019
995|871482|68.295726|5.354401|4.126406|-0.29615|No-3C|PKS-J0433+0521|3.8|0.0|6.08|-0.392114
996|872164|218.2407|-18.026197|1.020938|-0.007885|No-3C|PKS-J1432-1801|0.0|0.0|1.12|0.0
997|874634|352.995817|17.4819|1.055298|-0.850998|No-3C|PKS-J2331+1729|1.1|0.0|3.51|-0.807688
998|876963|115.604737|-17.251516|1.024456|-0.602571|No-3C|No-PKS|0.0|0.0|0.0|0.0
999|877757|164.573003|19.868106|2.521969|-0.606266|No-3C|PKS-J1058+1951|2.2|4.7|0.0|-0.671349
1000|877851|163.108576|20.496647|1.78608|-0.022922|No-3C|PKS-J1052+2029|1.5|0.0|0.0|-0.258984
1001|877990|162.953349|21.331302|1.274694|-0.185927|No-3C|PKS-J1051+2119|1.4|0.0|0.0|-0.290697
1002|879302|15.709259|25.871247|1.126477|-0.696595|No-3C|PKS-J0102+2552|0.9|2.8|0.0|-0.815778
1003|880604|118.941325|2.177799|1.008015|-0.867921|No-3C|PKS-J0755+0210|0.9|0.0|3.42|-0.849464
1004|883458|320.817928|15.801661|1.326034|-0.567436|No-3C|PKS-J2123+1548|1.3|0.0|3.21|-0.592484
1005|883664|320.692735|17.077184|1.599239|-0.981539|3C432|PKS-J2122+1704|1.7|0.0|6.05|-0.976633
