#SOURCE_ID | RA | DEC | NVSS_FLUX | INT_SPEC_INDX | 3C_NAME | PKS_JNAME | PKS_1410_FLUX | PKS_635_FLUX | PKS_408_FLUX | PKS_SPEC_INDX 
No-ID|32.693250|-51.016944|0.000000|0.000000|No-3C|PKS-J0210-5101|0.000000|0.000000|5.480000|0.000000
No-ID|43.192958|-71.076639|0.000000|0.000000|No-3C|PKS-J0252-7104|5.900000|0.000000|14.100000|-0.788469
No-ID|50.651667|-37.239167|0.000000|0.000000|No-3C|PKS-J0322-3714|0.000000|0.000000|259.000000|0.000000
No-ID|62.084917|-65.752667|0.000000|0.000000|No-3C|PKS-J0408-6544|14.400000|0.000000|51.100000|-1.081907
No-ID|62.201583|-75.122333|0.000000|0.000000|No-3C|PKS-J0408-7507|13.400000|0.000000|36.000000|-0.790349
No-ID|67.278333|-53.827222|0.000000|0.000000|No-3C|PKS-J0429-5349|5.600000|0.000000|14.600000|-0.844378
No-ID|70.071583|-43.552389|0.000000|0.000000|No-3C|PKS-J0440-4333|7.520000|0.000000|8.120000|0.078950
No-ID|79.934583|-45.777778|0.000000|0.000000|No-3C|PKS-J0519-4546|66.000000|0.000000|166.000000|-0.729482
No-ID|84.681250|-69.082500|0.000000|0.000000|No-3C|PKS-J0538-6904|34.000000|0.000000|39.100000|-0.139624
No-ID|84.802917|-69.490000|0.000000|0.000000|No-3C|PKS-J0539-6929|0.000000|0.000000|0.000000|0.000000
No-ID|92.398333|20.488333|0.000000|0.000000|No-3C|PKS-J0609+2029|11.300000|23.000000|0.000000|0.000000
No-ID|94.510417|22.659722|0.000000|0.000000|No-3C|PKS-J0618+2239|8.000000|14.700000|0.000000|0.166237
No-ID|96.584583|-53.687500|0.000000|0.000000|No-3C|PKS-J0626-5341|6.600000|0.000000|20.200000|-0.898703
No-ID|115.881333|-67.440556|0.000000|0.000000|No-3C|PKS-J0743-6726|5.300000|0.000000|8.610000|-0.577477
No-ID|116.880208|-19.294111|0.000000|0.000000|No-3C|PKS-J0747-1917|0.000000|0.000000|10.100000|-1.069355
No-ID|118.092917|-26.426944|0.000000|0.000000|No-3C|PKS-J0752-2625|11.300000|0.000000|17.200000|-0.432084
No-ID|124.066250|-35.588056|0.000000|0.000000|No-3C|PKS-J0816-3535|5.000000|0.000000|19.400000|-1.187919
No-ID|126.030833|-42.996111|0.000000|0.000000|No-3C|PKS-J0824-4259|18.000000|0.000000|198.000000|0.000000
No-ID|126.361250|-50.176667|0.000000|0.000000|No-3C|PKS-J0825-5010|0.000000|0.000000|1.880000|0.000000
No-ID|133.703646|20.108511|0.000000|0.000000|No-3C|PKS-J0854+2006|0.000000|0.000000|0.000000|0.000000
No-ID|134.867917|-43.762222|0.000000|0.000000|No-3C|PKS-J0859-4345|260.000000|0.000000|0.000000|0.000000
No-ID|134.780417|-47.523056|0.000000|0.000000|No-3C|PKS-J0859-4731|250.000000|0.000000|0.000000|0.000000
No-ID|135.985833|-38.615833|0.000000|0.000000|No-3C|PKS-J0903-3836|10.000000|0.000000|12.800000|0.000000
No-ID|141.106667|-51.993611|0.000000|0.000000|No-3C|PKS-J0924-5159|30.000000|0.000000|0.000000|0.000000
No-ID|182.983333|-53.160278|0.000000|0.000000|No-3C|PKS-J1211-5309|62.000000|0.000000|0.000000|-0.470835
No-ID|196.367917|-49.467500|0.000000|0.000000|No-3C|PKS-J1305-4928|6.600000|0.000000|14.000000|-0.552996
No-ID|200.301250|-43.710833|0.000000|0.000000|No-3C|PKS-J1321-4342|5.860000|0.000000|0.000000|0.000000
No-ID|201.383333|-43.066389|0.000000|0.000000|No-3C|PKS-J1325-4303|0.000000|0.000000|2746.000000|0.000000
No-ID|201.586250|-61.376111|0.000000|0.000000|No-3C|PKS-J1326-6122|8.300000|0.000000|0.000000|0.000000
