% f (Hz),   G_rec (dB), T_e_rec (K) 
1111000000,  54.93,   7.57
1112000000,  54.93,   7.50
1113000000,  54.94,   7.59
1114000000,  54.93,   7.69
1115000000,  54.94,   7.69
1116000000,  54.95,   7.77
1117000000,  54.96,   7.82
1118000000,  54.96,   7.81
1119000000,  54.96,   7.74
1120000000,  54.97,   7.73
1121000000,  54.98,   7.78
1122000000,  54.99,   7.78
1123000000,  55.00,   7.63
1124000000,  55.00,   7.69
1125000000,  55.02,   7.89
1126000000,  55.04,   7.92
1127000000,  55.05,   7.78
1128000000,  55.07,   7.79
1129000000,  55.08,   7.90
1130000000,  55.09,   7.93
1131000000,  55.11,   7.92
1132000000,  55.13,   7.94
1133000000,  55.14,   8.05
1134000000,  55.16,   7.97
1135000000,  55.18,   7.90
1136000000,  55.19,   7.96
1137000000,  55.21,   7.85
1138000000,  55.23,   7.83
1139000000,  55.24,   7.77
1140000000,  55.26,   7.93
1141000000,  55.28,   7.83
1142000000,  55.29,   7.87
1143000000,  55.32,   7.84
1144000000,  55.34,   7.88
1145000000,  55.36,   7.84
1146000000,  55.37,   7.81
1147000000,  55.39,   7.85
1148000000,  55.41,   7.86
1149000000,  55.43,   7.79
1150000000,  55.45,   7.86
1151000000,  55.47,   7.71
1152000000,  55.47,   7.81
1153000000,  55.49,   7.73
1154000000,  55.53,   7.83
1155000000,  55.53,   7.73
1156000000,  55.56,   7.72
1157000000,  55.57,   7.72
1158000000,  55.59,   7.72
1159000000,  55.60,   7.76
1160000000,  55.62,   7.80
1161000000,  55.63,   7.84
1162000000,  55.65,   7.72
1163000000,  55.67,   7.61
1164000000,  55.67,   7.63
1165000000,  55.69,   7.64
1166000000,  55.69,   7.53
1167000000,  55.71,   7.47
1168000000,  55.71,   7.48
1169000000,  55.72,   7.60
1170000000,  55.73,   7.55
1171000000,  55.75,   7.53
1172000000,  55.75,   7.35
1173000000,  55.76,   7.44
1174000000,  55.76,   7.48
1175000000,  55.76,   7.73
1176000000,  55.77,   7.54
1177000000,  55.77,   7.51
1178000000,  55.78,   7.46
1179000000,  55.78,   7.48
1180000000,  55.78,   7.58
1181000000,  55.78,   7.38
1182000000,  55.78,   7.37
1183000000,  55.79,   7.43
1184000000,  55.78,   7.45
1185000000,  55.77,   7.41
1186000000,  55.77,   7.33
1187000000,  55.75,   7.34
1188000000,  55.75,   7.31
1189000000,  55.75,   7.53
1190000000,  55.75,   7.43
1191000000,  55.74,   7.52
1192000000,  55.74,   7.30
1193000000,  55.72,   7.26
1194000000,  55.72,   7.29
1195000000,  55.71,   7.39
1196000000,  55.71,   7.46
1197000000,  55.70,   7.42
1198000000,  55.69,   7.39
1199000000,  55.70,   7.41
1200000000,  55.68,   7.37
1201000000,  55.68,   7.28
1202000000,  55.67,   7.53
1203000000,  55.66,   7.40
1204000000,  55.64,   7.39
1205000000,  55.63,   7.42
1206000000,  55.61,   7.39
1207000000,  55.58,   7.38
1208000000,  55.56,   7.41
1209000000,  55.55,   7.49
1210000000,  55.53,   7.38
1211000000,  55.52,   7.44
1212000000,  55.51,   7.56
1213000000,  55.49,   7.49
1214000000,  55.48,   7.53
1215000000,  55.46,   7.59
1216000000,  55.45,   7.43
1217000000,  55.44,   7.46
1218000000,  55.43,   7.56
1219000000,  55.43,   7.65
1220000000,  55.42,   7.52
1221000000,  55.41,   7.58
1222000000,  55.40,   7.63
1223000000,  55.39,   7.65
1224000000,  55.38,   7.72
1225000000,  55.38,   7.70
1226000000,  55.38,   7.78
1227000000,  55.37,   7.80
1228000000,  55.36,   7.81
1229000000,  55.36,   7.74
1230000000,  55.37,   7.83
1231000000,  55.36,   7.76
1232000000,  55.36,   7.89
1233000000,  55.37,   7.92
1234000000,  55.36,   7.83
1235000000,  55.37,   7.97
1236000000,  55.37,   7.94
1237000000,  55.37,   8.03
1238000000,  55.37,   7.88
1239000000,  55.38,   7.91
