% f (Hz),G_rec (dB),T_e_rec (K)
1111000000,  56.21,   7.44
1112000000,  56.21,   7.53
1113000000,  56.21,   7.54
1114000000,  56.20,   7.67
1115000000,  56.21,   7.66
1116000000,  56.22,   7.57
1117000000,  56.23,   7.64
1118000000,  56.22,   7.67
1119000000,  56.23,   7.67
1120000000,  56.24,   7.56
1121000000,  56.24,   7.65
1122000000,  56.25,   7.52
1123000000,  56.26,   7.46
1124000000,  56.25,   7.59
1125000000,  56.27,   7.66
1126000000,  56.28,   7.82
1127000000,  56.29,   7.63
1128000000,  56.30,   7.56
1129000000,  56.31,   7.73
1130000000,  56.31,   7.50
1131000000,  56.33,   7.54
1132000000,  56.34,   7.52
1133000000,  56.35,   7.59
1134000000,  56.36,   7.58
1135000000,  56.38,   7.69
1136000000,  56.38,   7.57
1137000000,  56.39,   7.61
1138000000,  56.41,   7.48
1139000000,  56.41,   7.58
1140000000,  56.42,   7.49
1141000000,  56.43,   7.57
1142000000,  56.44,   7.58
1143000000,  56.46,   7.56
1144000000,  56.47,   7.67
1145000000,  56.48,   7.65
1146000000,  56.49,   7.59
1147000000,  56.50,   7.66
1148000000,  56.51,   7.82
1149000000,  56.52,   7.58
1150000000,  56.54,   7.55
1151000000,  56.54,   7.51
1152000000,  56.55,   7.47
1153000000,  56.55,   7.39
1154000000,  56.58,   7.41
1155000000,  56.57,   7.50
1156000000,  56.59,   7.48
1157000000,  56.59,   7.62
1158000000,  56.60,   7.47
1159000000,  56.60,   7.64
1160000000,  56.60,   7.38
1161000000,  56.60,   7.49
1162000000,  56.61,   7.29
1163000000,  56.61,   7.51
1164000000,  56.60,   7.40
1165000000,  56.61,   7.40
1166000000,  56.59,   7.40
1167000000,  56.60,   7.26
1168000000,  56.59,   7.47
1169000000,  56.59,   7.41
1170000000,  56.59,   7.42
1171000000,  56.60,   7.36
1172000000,  56.60,   7.46
1173000000,  56.59,   7.34
1174000000,  56.59,   7.71
1175000000,  56.58,   7.28
1176000000,  56.58,   7.52
1177000000,  56.57,   7.27
1178000000,  56.57,   7.50
1179000000,  56.57,   7.31
1180000000,  56.55,   7.30
1181000000,  56.55,   7.48
1182000000,  56.54,   7.42
1183000000,  56.54,   7.36
1184000000,  56.52,   7.41
1185000000,  56.51,   7.49
1186000000,  56.50,   7.40
1187000000,  56.48,   7.46
1188000000,  56.47,   7.17
1189000000,  56.47,   7.39
1190000000,  56.46,   7.42
1191000000,  56.44,   7.57
1192000000,  56.43,   7.42
1193000000,  56.41,   7.53
1194000000,  56.40,   7.62
1195000000,  56.39,   7.58
1196000000,  56.38,   7.56
1197000000,  56.36,   7.66
1198000000,  56.35,   7.55
1199000000,  56.34,   7.43
1200000000,  56.31,   7.59
1201000000,  56.31,   7.57
1202000000,  56.30,   7.46
1203000000,  56.29,   7.66
1204000000,  56.28,   7.72
1205000000,  56.27,   7.51
1206000000,  56.26,   7.71
1207000000,  56.24,   7.79
1208000000,  56.22,   7.70
1209000000,  56.22,   7.77
1210000000,  56.21,   7.67
1211000000,  56.20,   7.57
1212000000,  56.19,   7.74
1213000000,  56.18,   7.70
1214000000,  56.17,   7.74
1215000000,  56.15,   7.82
1216000000,  56.15,   7.78
1217000000,  56.14,   7.81
1218000000,  56.13,   7.86
1219000000,  56.13,   7.60
1220000000,  56.13,   7.71
1221000000,  56.12,   7.85
1222000000,  56.12,   7.79
1223000000,  56.11,   7.73
1224000000,  56.11,   7.71
1225000000,  56.11,   7.85
1226000000,  56.12,   7.80
1227000000,  56.11,   7.87
1228000000,  56.10,   7.81
1229000000,  56.10,   7.65
1230000000,  56.12,   7.83
1231000000,  56.11,   7.89
1232000000,  56.10,   7.88
1233000000,  56.11,   7.98
1234000000,  56.10,   8.08
1235000000,  56.11,   8.07
1236000000,  56.12,   7.87
1237000000,  56.12,   7.87
1238000000,  56.12,   8.00
1239000000,  56.13,   8.02
1240000000,  56.14,   8.08
1241000000,  56.15,   7.90
1242000000,  56.16,   7.93
1243000000,  56.16,   7.98
1244000000,  56.16,   7.92
1245000000,  56.17,   8.07
1246000000,  56.18,   7.84
1247000000,  56.19,   7.70
1248000000,  56.20,   7.82
1249000000,  56.21,   7.90
1250000000,  56.21,   7.80
1251000000,  56.21,   7.84
1252000000,  56.22,   7.77
1253000000,  56.23,   7.78
1254000000,  56.24,   7.74
1255000000,  56.26,   7.70
1256000000,  56.27,   7.82
1257000000,  56.27,   7.83
1258000000,  56.28,   7.64
1259000000,  56.29,   7.48
1260000000,  56.31,   7.65
1261000000,  56.32,   7.76
1262000000,  56.33,   7.67
1263000000,  56.34,   7.71
1264000000,  56.36,   7.71
1265000000,  56.38,   7.56
1266000000,  56.40,   7.45
1267000000,  56.40,   7.46
1268000000,  56.42,   7.60
1269000000,  56.44,   7.56
1270000000,  56.44,   7.58
1271000000,  56.46,   7.60
1272000000,  56.48,   7.50
1273000000,  56.48,   7.44
1274000000,  56.50,   7.62
1275000000,  56.52,   7.44
1276000000,  56.53,   7.38
1277000000,  56.54,   7.26
1278000000,  56.56,   7.59
1279000000,  56.57,   7.46
1280000000,  56.58,   7.55
1281000000,  56.59,   7.43
1282000000,  56.61,   7.23
1283000000,  56.61,   7.39
1284000000,  56.63,   7.35
1285000000,  56.63,   7.27
1286000000,  56.64,   7.47
1287000000,  56.66,   7.44
1288000000,  56.68,   7.35
1289000000,  56.68,   7.09
1290000000,  56.68,   7.27
1291000000,  56.70,   7.27
1292000000,  56.71,   7.21
1293000000,  56.70,   7.19
1294000000,  56.73,   7.20
1295000000,  56.73,   7.12
1296000000,  56.73,   7.05
1297000000,  56.74,   7.17
1298000000,  56.74,   7.15
1299000000,  56.75,   6.98
1300000000,  56.76,   7.11
1301000000,  56.76,   7.15
1302000000,  56.76,   7.15
1303000000,  56.77,   6.97
1304000000,  56.77,   7.06
1305000000,  56.78,   7.16
1306000000,  56.76,   7.16
1307000000,  56.77,   6.98
1308000000,  56.77,   7.02
1309000000,  56.76,   6.98
1310000000,  56.77,   7.03
1311000000,  56.75,   6.89
1312000000,  56.76,   6.91
1313000000,  56.76,   6.88
1314000000,  56.75,   6.85
1315000000,  56.74,   6.89
1316000000,  56.74,   6.84
1317000000,  56.74,   6.86
1318000000,  56.73,   6.76
1319000000,  56.74,   6.94
1320000000,  56.72,   6.90
1321000000,  56.72,   6.82
1322000000,  56.70,   6.98
1323000000,  56.71,   6.94
1324000000,  56.70,   6.84
1325000000,  56.68,   6.90
1326000000,  56.68,   6.74
1327000000,  56.67,   6.89
1328000000,  56.67,   6.90
1329000000,  56.66,   6.77
1330000000,  56.65,   6.94
1331000000,  56.65,   6.96
1332000000,  56.64,   6.90
1333000000,  56.63,   6.99
1334000000,  56.62,   6.74
1335000000,  56.61,   6.93
1336000000,  56.60,   6.97
1337000000,  56.59,   6.89
1338000000,  56.58,   6.91
1339000000,  56.57,   7.11
1340000000,  56.56,   7.09
1341000000,  56.55,   7.04
1342000000,  56.55,   6.99
1343000000,  56.53,   7.08
1344000000,  56.52,   6.96
1345000000,  56.51,   7.09
1346000000,  56.50,   7.28
1347000000,  56.49,   7.26
1348000000,  56.47,   7.09
1349000000,  56.48,   7.19
1350000000,  56.46,   7.23
1351000000,  56.46,   7.13
1352000000,  56.45,   7.19
1353000000,  56.44,   7.19
1354000000,  56.44,   7.11
1355000000,  56.43,   7.22
1356000000,  56.42,   7.24
1357000000,  56.43,   7.25
1358000000,  56.40,   7.41
1359000000,  56.39,   7.35
1360000000,  56.40,   7.22
1361000000,  56.39,   7.33
1362000000,  56.38,   7.41
1363000000,  56.38,   7.31
1364000000,  56.37,   7.30
1365000000,  56.37,   7.28
1366000000,  56.37,   7.35
1367000000,  56.36,   7.54
1368000000,  56.35,   7.34
1369000000,  56.34,   7.40
1370000000,  56.34,   7.56
1371000000,  56.33,   7.49
1372000000,  56.33,   7.47
1373000000,  56.32,   7.48
1374000000,  56.32,   7.46
1375000000,  56.32,   7.66
1376000000,  56.31,   7.65
1377000000,  56.32,   7.51
1378000000,  56.31,   7.51
1379000000,  56.31,   7.55
1380000000,  56.31,   7.58
1381000000,  56.31,   7.66
1382000000,  56.31,   7.43
1383000000,  56.31,   7.54
1384000000,  56.31,   7.63
1385000000,  56.31,   7.56
1386000000,  56.31,   7.77
1387000000,  56.30,   7.64
1388000000,  56.31,   7.56
1389000000,  56.31,   7.50
1390000000,  56.30,   7.85
1391000000,  56.31,   7.70
1392000000,  56.30,   7.67
1393000000,  56.30,   7.58
1394000000,  56.31,   7.54
1395000000,  56.31,   7.59
1396000000,  56.31,   7.61
1397000000,  56.30,   7.51
1398000000,  56.30,   7.56
1399000000,  56.31,   7.45
1400000000,  56.31,   7.38
1401000000,  56.33,   7.50
1402000000,  56.32,   7.54
1403000000,  56.32,   7.51
1404000000,  56.33,   7.33
1405000000,  56.33,   7.37
1406000000,  56.32,   7.41
1407000000,  56.33,   7.36
1408000000,  56.34,   7.34
1409000000,  56.33,   7.23
1410000000,  56.33,   7.29
1411000000,  56.33,   7.29
1412000000,  56.34,   7.17
1413000000,  56.33,   7.46
1414000000,  56.33,   7.33
1415000000,  56.33,   7.26
1416000000,  56.33,   7.41
1417000000,  56.32,   7.33
1418000000,  56.31,   7.17
1419000000,  56.31,   7.28
1420000000,  56.30,   7.28
1421000000,  56.30,   7.46
1422000000,  56.29,   7.42
1423000000,  56.30,   7.56
1424000000,  56.29,   7.45
1425000000,  56.29,   7.31
1426000000,  56.29,   7.40
1427000000,  56.28,   7.35
1428000000,  56.28,   7.55
1429000000,  56.28,   7.46
1430000000,  56.28,   7.47
1431000000,  56.28,   7.30
1432000000,  56.27,   7.37
1433000000,  56.27,   7.52
1434000000,  56.27,   7.33
1435000000,  56.26,   7.49
1436000000,  56.25,   7.57
1437000000,  56.25,   7.55
1438000000,  56.25,   7.73
1439000000,  56.24,   7.54
1440000000,  56.24,   7.66
1441000000,  56.23,   7.95
1442000000,  56.23,   7.93
1443000000,  56.21,   7.87
1444000000,  56.21,   7.83
1445000000,  56.21,   7.96
1446000000,  56.20,   8.08
1447000000,  56.19,   7.81
1448000000,  56.18,   8.02
1449000000,  56.18,   7.89
