% f (Hz),G_rec (dB),T_e_rec (K)
1111000000,  57.09,   7.66
1112000000,  57.09,   7.65
1113000000,  57.10,   7.78
1114000000,  57.09,   7.80
1115000000,  57.11,   7.68
1116000000,  57.13,   7.74
1117000000,  57.14,   7.78
1118000000,  57.14,   7.80
1119000000,  57.15,   7.77
1120000000,  57.17,   7.79
1121000000,  57.17,   7.77
1122000000,  57.19,   7.77
1123000000,  57.20,   7.99
1124000000,  57.20,   7.94
1125000000,  57.23,   7.87
1126000000,  57.24,   7.82
1127000000,  57.25,   7.76
1128000000,  57.27,   7.87
1129000000,  57.28,   7.84
1130000000,  57.29,   7.85
1131000000,  57.30,   7.83
1132000000,  57.31,   7.87
1133000000,  57.33,   7.90
1134000000,  57.34,   7.95
1135000000,  57.36,   7.90
1136000000,  57.37,   7.86
1137000000,  57.38,   7.91
1138000000,  57.39,   7.92
1139000000,  57.39,   7.83
1140000000,  57.41,   7.79
1141000000,  57.42,   7.81
1142000000,  57.43,   7.84
1143000000,  57.46,   7.85
1144000000,  57.47,   7.81
1145000000,  57.47,   7.83
1146000000,  57.48,   7.91
1147000000,  57.49,   7.84
1148000000,  57.50,   7.93
1149000000,  57.51,   7.85
1150000000,  57.52,   7.93
1151000000,  57.53,   7.88
1152000000,  57.53,   7.85
1153000000,  57.53,   7.81
1154000000,  57.56,   7.92
1155000000,  57.56,   7.81
1156000000,  57.57,   7.83
1157000000,  57.58,   7.75
1158000000,  57.58,   7.78
1159000000,  57.58,   7.71
1160000000,  57.58,   7.78
1161000000,  57.59,   7.69
1162000000,  57.60,   7.74
1163000000,  57.61,   7.76
1164000000,  57.60,   7.77
1165000000,  57.60,   7.79
1166000000,  57.59,   7.92
1167000000,  57.61,   7.83
1168000000,  57.60,   7.69
1169000000,  57.60,   7.73
1170000000,  57.60,   7.74
1171000000,  57.61,   7.76
1172000000,  57.61,   7.66
1173000000,  57.61,   7.66
1174000000,  57.60,   7.73
1175000000,  57.60,   7.69
1176000000,  57.59,   7.73
1177000000,  57.59,   7.68
1178000000,  57.59,   7.71
1179000000,  57.59,   7.67
1180000000,  57.58,   7.77
1181000000,  57.57,   7.80
1182000000,  57.56,   7.79
1183000000,  57.57,   7.74
1184000000,  57.55,   7.63
1185000000,  57.54,   7.74
1186000000,  57.54,   7.72
1187000000,  57.51,   7.56
1188000000,  57.51,   7.71
1189000000,  57.51,   7.61
1190000000,  57.51,   7.68
1191000000,  57.49,   7.57
1192000000,  57.48,   7.64
1193000000,  57.47,   7.76
1194000000,  57.46,   7.80
1195000000,  57.45,   7.79
1196000000,  57.45,   7.81
1197000000,  57.43,   7.79
1198000000,  57.42,   7.70
1199000000,  57.43,   7.74
1200000000,  57.40,   7.72
1201000000,  57.40,   7.69
1202000000,  57.40,   7.75
1203000000,  57.39,   7.57
1204000000,  57.39,   7.71
1205000000,  57.38,   7.69
1206000000,  57.38,   7.58
1207000000,  57.37,   7.72
1208000000,  57.36,   7.70
1209000000,  57.36,   7.54
1210000000,  57.35,   7.57
1211000000,  57.35,   7.64
1212000000,  57.34,   7.79
1213000000,  57.33,   7.71
1214000000,  57.33,   7.58
1215000000,  57.32,   7.65
1216000000,  57.32,   7.62
1217000000,  57.31,   7.77
1218000000,  57.31,   7.74
1219000000,  57.31,   7.77
1220000000,  57.32,   7.81
1221000000,  57.31,   7.73
1222000000,  57.31,   7.60
1223000000,  57.30,   7.75
1224000000,  57.30,   7.74
1225000000,  57.31,   7.80
1226000000,  57.32,   7.76
1227000000,  57.31,   7.68
1228000000,  57.31,   7.77
1229000000,  57.31,   7.75
1230000000,  57.33,   7.96
1231000000,  57.33,   7.79
